search_query,name,description,설명,url,type,usage_count,topic
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Resources,Building the operating system for AI,AI를 위한 운영체제 구축,https://smithery.ai/,,,2
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,MySQL Server,"A Model Context Protocol (MCP) server that enables secure interaction with MySQL databases, allowing AI assistants to list tables, read data, and execute SQL queries through a controlled interface.","MySQL 데이터베이스와 안전하게 상호작용할 수 있는 MCP(Model Context Protocol) 서버로, AI 보조자가 제어된 인터페이스를 통해 테이블을 나열하고, 데이터를 읽고, SQL 쿼리를 실행할 수 있도록 해줍니다.",https://smithery.ai/server/mysql-mcp-server,Local,7.16k,3
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Multi-Model Advisor,Query multiple AI models simultaneously to gain diverse perspectives on your questions. Synthesize insights from various AI personas to enhance your decision-making process. Integrate seamlessly with Claude for a comprehensive advisory experience.,여러 AI 모델을 동시에 쿼리하여 질문에 대한 다양한 관점을 얻으세요. 다양한 AI 페르소나의 통찰력을 종합하여 의사 결정 프로세스를 개선하세요. 클로드와 완벽하게 통합하여 포괄적인 자문 경험을 얻으세요.,https://smithery.ai/server/@YuChenSSR/multi-ai-advisor-mcp,Local,7.30k,3
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,OpenRouter MCP Server,"A Model Context Protocol (MCP) server for integration with OpenRouter.ai, allowing access to various AI models through a unified interface.","OpenRouter.ai와 통합하기 위한 MCP(Model Context Protocol) 서버로, 통합된 인터페이스를 통해 다양한 AI 모델에 액세스할 수 있습니다.",https://smithery.ai/server/@mcpserver/openrouterai,Remote,4.68k,3
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Code MCP,"Enable AI agents to seamlessly interact with VS Code, enhancing their capabilities to modify files, open projects, and check extension statuses. Streamline your development workflow by integrating AI assistance directly into your coding environment. Experience a more efficient coding process with intelligent tools at your fingertips.","AI 에이전트가 VS Code와 원활하게 상호 작용하여 파일을 수정하고, 프로젝트를 열고, 확장 상태를 확인하는 기능을 강화할 수 있습니다. AI 지원을 코딩 환경에 직접 통합하여 개발 워크플로를 간소화합니다. 손끝에서 지능형 도구를 사용하여 보다 효율적인 코딩 프로세스를 경험하세요.",https://smithery.ai/server/@block/code-mcp,Local,10.53k,1
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Knowledge Graph Memory Server,"Enable your agents to remember user information across chats by utilizing a local knowledge graph. Enhance interactions by creating, updating, and retrieving personalized memories seamlessly. Experience a more engaging and tailored conversation with your AI assistant.","로컬 지식 그래프를 활용하여 채팅에서 에이전트가 사용자 정보를 기억할 수 있도록 하세요. 개인화된 기억을 원활하게 만들고, 업데이트하고, 검색하여 상호 작용을 강화하세요. AI 어시스턴트와 더욱 매력적이고 맞춤화된 대화를 경험하세요.",https://smithery.ai/server/@jlia0/servers,Local,5.11k,1
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,MCP Server Starter,Build a robust server to enable AI agents to interact with various tools.,AI 에이전트가 다양한 도구와 상호작용할 수 있도록 강력한 서버를 구축합니다.,https://smithery.ai/server/@TheSethRose/mcp-server-starter,Remote,3.79k,1
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,HotNews Server,A Model Context Protocol server that provides real-time hot trending topics from major Chinese social platforms and news sites.,주요 중국 소셜 플랫폼과 뉴스 사이트의 실시간 인기 트렌드 주제를 제공하는 모델 컨텍스트 프로토콜 서버입니다.,https://smithery.ai/server/@wopal/mcp-server-hotnews,Remote,3.62k,0
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Any OpenAI Compatible API Integrations,"Integrate Claude with any OpenAI SDK Compatible Chat Completion API like OpenAI, Perplexity, Groq, xAI, PyroPrompts, etc.","Claude를 OpenAI, Perplexity, Groq, xAI, PyroPrompts 등과 같은 OpenAI SDK 호환 채팅 완성 API와 통합하세요.",https://smithery.ai/server/any-chat-completions-mcp-server,Remote,2.13k,1
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,File Context Server,"Enable your LLMs to read, search, and analyze code files with advanced caching and real-time file watching capabilities. Streamline your code analysis and improve quality metrics effortlessly. Enhance your development workflow with powerful file operations and smart caching features.","고급 캐싱 및 실시간 파일 감시 기능을 통해 LLM이 코드 파일을 읽고, 검색하고, 분석할 수 있도록 하세요. 코드 분석을 간소화하고 품질 지표를 손쉽게 개선하세요. 강력한 파일 작업과 스마트 캐싱 기능으로 개발 워크플로를 강화하세요.",https://smithery.ai/server/@bsmi021/mcp-file-context-server,Remote,2.26k,4
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,MCP Fetch,A Model Context Protocol server that provides web content fetching capabilities.,웹 콘텐츠 가져오기 기능을 제공하는 모델 컨텍스트 프로토콜 서버입니다.,https://smithery.ai/server/@kazuph/mcp-fetch,Remote,1.20k,4
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,AutoGen Server,Create and manage AI agents that collaborate and solve problems through natural language interactions. Enable multi-agent conversations and orchestrate group chats with customizable configurations. Enhance your applications with built-in error handling and response validation for seamless communication between agents.,자연어 상호작용을 통해 협업하고 문제를 해결하는 AI 에이전트를 만들고 관리합니다. 사용자 정의 가능한 구성으로 다중 에이전트 대화를 활성화하고 그룹 채팅을 조율합니다. 에이전트 간의 원활한 커뮤니케이션을 위해 기본 제공 오류 처리 및 응답 검증으로 애플리케이션을 강화합니다.,https://smithery.ai/server/@DynamicEndpoints/autogen_mcp,Remote,1.17k,1
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,DeepLucid3D UCPF Server,"Enable advanced cognitive analysis and creative problem-solving with structured cognitive tools. Assess cognitive states, generate novel perspectives, and decompose complex problems for effective solutions. Enhance your AI capabilities with a powerful framework for structured thinking.","구조화된 인지 도구를 사용하여 고급 인지 분석 및 창의적인 문제 해결을 가능하게 합니다. 인지 상태를 평가하고, 새로운 관점을 생성하고, 복잡한 문제를 분해하여 효과적인 솔루션을 제공합니다. 구조화된 사고를 위한 강력한 프레임워크로 AI 역량을 강화합니다.",https://smithery.ai/server/@MushroomFleet/deeplucid3d-mcp,Local,,4
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Luma MCP Server,A Model Context Protocol server for Luma AI video generation,Luma AI 비디오 생성을 위한 모델 컨텍스트 프로토콜 서버,https://smithery.ai/server/@sunwood-ai-labs/luma-mcp-server,Remote,,0
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Search1API MCP Server,A Model Context Protocol (MCP) server that provides search and crawl functionality using Search1API.,Search1API를 사용하여 검색 및 크롤링 기능을 제공하는 MCP(Model Context Protocol) 서버입니다.,https://smithery.ai/server/search1api-mcp,Remote,,4
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Think MCP Server,"Enhance your AI's reasoning capabilities with the 'think' tool, allowing it to pause and reflect during complex problem-solving. This server improves decision-making consistency and policy adherence, making it ideal for multi-step tasks. Leverage structured thinking to achieve better outcomes in your AI interactions.",생각' 도구로 AI의 추론 능력을 강화하여 복잡한 문제 해결 중에 잠시 멈추고 성찰할 수 있도록 합니다. 이 서버는 의사 결정의 일관성과 정책 준수를 개선하여 여러 단계의 작업에 이상적입니다. 구조화된 사고를 활용하여 AI 상호 작용에서 더 나은 결과를 얻으세요.,https://smithery.ai/server/@marcopesani/think-mcp-server,Remote,,4
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,AIO-MCP Server,"A powerful Model Context Protocol (MCP) server implementation with integrations for GitLab, Jira, Confluence, YouTube, Google Maps, and more. This server provides AI-powered search capabilities and various utility tools for development workflows.","GitLab, Jira, Confluence, YouTube, Google Maps 등을 통합한 강력한 Model Context Protocol(MCP) 서버 구현. 이 서버는 AI 기반 검색 기능과 개발 워크플로를 위한 다양한 유틸리티 도구를 제공합니다.",https://smithery.ai/server/@athapong/aio-mcp,Local,,3
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Hugging Face MCP Server,"Access Hugging Face's models, datasets, and research papers seamlessly. Interact with a wide range of resources and tools to enhance your LLM's capabilities. Utilize prompt templates for efficient model comparisons and paper summaries.","Hugging Face의 모델, 데이터 세트 및 연구 논문에 원활하게 액세스하세요. 광범위한 리소스 및 도구와 상호 작용하여 LLM의 역량을 강화하세요. 효율적인 모델 비교 및 논문 요약을 위해 프롬프트 템플릿을 활용하세요.",https://smithery.ai/server/@shreyaskarnik/huggingface-mcp-server,Remote,,3
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Twitter Server,"A Model Context Protocol server that allows interaction with Twitter, enabling posting tweets and searching Twitter.",Twitter와 상호작용하고 트윗을 게시하고 Twitter에서 검색할 수 있게 해주는 모델 컨텍스트 프로토콜 서버입니다.,https://smithery.ai/server/@enescinar/twitter-mcp,Remote,,0
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Perplexity MCP Zerver,"Leverage AI-powered research capabilities seamlessly without the need for an API key. Perform web searches, retrieve documentation, and analyze code with a modular tool architecture. Enhance your research workflow with integrated chat and API discovery features.","API 키 없이도 AI 기반 연구 기능을 원활하게 활용하세요. 모듈형 도구 아키텍처로 웹 검색을 수행하고, 문서를 검색하고, 코드를 분석하세요. 통합 채팅 및 API 검색 기능으로 연구 워크플로를 강화하세요.",https://smithery.ai/server/@wysh3/perplexity-mcp-zerver,Remote,,4
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,OpenAI Server,MCP server for simple interaction with OpenAI API.,OpenAI API와 간단하게 상호작용할 수 있는 MCP 서버입니다.,https://smithery.ai/server/@mzxrai/mcp-openai,Remote,,1
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Resources,Building the operating system for AI,AI를 위한 운영체제 구축,https://smithery.ai/,,,2
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Model Context Protocol Servers,Showcase versatile implementations of the Model Context Protocol for secure LLM access to tools and data.,도구와 데이터에 대한 안전한 LLM 액세스를 위한 모델 컨텍스트 프로토콜의 다양한 구현을 소개합니다.,https://smithery.ai/server/@chuanmingliu/servers,Remote,,3
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,RelevanceAI MCP Server,Integrate and utilize tools created in RelevanceAI seamlessly. Enhance your applications with powerful data processing capabilities through a standardized interface. Start leveraging advanced functionalities to improve your workflows today!,RelevanceAI에서 만든 도구를 원활하게 통합하고 활용하세요. 표준화된 인터페이스를 통해 강력한 데이터 처리 기능으로 애플리케이션을 강화하세요. 오늘 고급 기능을 활용하여 워크플로를 개선하세요!,https://smithery.ai/server/@RelevanceAI/relevanceai-mcp-server,Remote,,3
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Pump.fun Data Fetch Tool,Fetch and integrate data seamlessly for your applications using the Model Context Protocol. Enhance your projects with real-time data access and manipulation capabilities. Simplify your data interactions and improve efficiency with this powerful tool.,Model Context Protocol을 사용하여 애플리케이션에 대한 데이터를 원활하게 가져오고 통합합니다. 실시간 데이터 액세스 및 조작 기능으로 프로젝트를 강화합니다. 이 강력한 도구로 데이터 상호 작용을 간소화하고 효율성을 개선합니다.,https://smithery.ai/server/@jun85664396/pump-fun-data-mcp,Remote,,0
