search_query,name,description,url,type,usage_count
Tools and frameworks for building dynamic web applications and integrating real-time data,Resources,Building the operating system for AI,https://smithery.ai/,,
Tools and frameworks for building dynamic web applications and integrating real-time data,MCP Server Starter,Build a robust server to enable AI agents to interact with various tools.,https://smithery.ai/server/@TheSethRose/mcp-server-starter,Remote,3.79k
Tools and frameworks for building dynamic web applications and integrating real-time data,HotNews Server,A Model Context Protocol server that provides real-time hot trending topics from major Chinese social platforms and news sites.,https://smithery.ai/server/@wopal/mcp-server-hotnews,Remote,3.62k
Tools and frameworks for building dynamic web applications and integrating real-time data,Web Research Server,"Integrate real-time web research capabilities into your workflow. Conduct thorough research with tools for searching, content extraction, and session tracking.",https://smithery.ai/server/@chuanmingliu/mcp-webresearch,Remote,3.13k
Tools and frameworks for building dynamic web applications and integrating real-time data,Fetch Browser,Fetch web content and perform Google searches seamlessly.,https://smithery.ai/server/@TheSethRose/fetch-browser,Remote,
Tools and frameworks for building dynamic web applications and integrating real-time data,Web Content Server,Fetch and process web content seamlessly for LLM context using Cloudflare Browser Rendering. Enhance your applications with real-time web data extraction and structured content summarization. Leverage powerful tools to enrich your LLM interactions with relevant web information.,https://smithery.ai/server/@amotivv/cloudflare-browser-rendering,Remote,
Tools and frameworks for building dynamic web applications and integrating real-time data,Weather Tool,Provide real-time weather information and forecasts to enhance your applications. Integrate weather data seamlessly and empower users with up-to-date meteorological insights.,https://smithery.ai/server/@cedrazgabriel/teste-mcp-cedraz,Remote,
Tools and frameworks for building dynamic web applications and integrating real-time data,Singapore LTA MCP Server,"Access real-time transportation information for Singapore. Get bus arrivals, traffic conditions, and train service updates seamlessly.",https://smithery.ai/server/@arjunkmrm/mcp-sg-lta,Remote,
Tools and frameworks for building dynamic web applications and integrating real-time data,Beyond MCP Server,Access social platform data and onchain data seamlessly. Integrate multiple social media platforms with ease and extend functionality as needed. Optimize your LLM interactions with well-formatted context and flexible transport options.,https://smithery.ai/server/@Beyond-Network-AI/beyond-mcp-server,Remote,
Tools and frameworks for building dynamic web applications and integrating real-time data,Simple MCP Server,Integrate your applications with external data and tools seamlessly. Enhance your workflows by leveraging real-world data and actions through a standardized protocol. Experience dynamic interactions with your LLMs and external resources effortlessly.,https://smithery.ai/server/@BrunoSSantana/poc-simple-mcp-server,Remote,
Tools and frameworks for building dynamic web applications and integrating real-time data,FantasyPros API Server,"Access sports data, news, rankings, and projections seamlessly. Retrieve the latest updates and player information for NFL, MLB, NBA, and NHL with ease. Enhance your applications with real-time sports insights and analytics.",https://smithery.ai/server/@DynamicEndpoints/fantasy-pros-mcp,Remote,
Tools and frameworks for building dynamic web applications and integrating real-time data,Durs1111,Enhance your applications with dynamic data integration and real-time context manipulation. Utilize powerful tools and resources to streamline workflows and improve user interactions. Experience seamless connectivity with external data sources and APIs for enriched functionality.,https://smithery.ai/server/@Durs1111/durs1111,Local,
Tools and frameworks for building dynamic web applications and integrating real-time data,Dynamic Context Integration Server,"Enhance your applications by seamlessly integrating real-world data and tools. Access files, databases, and APIs dynamically to enrich your LLM interactions. Empower your agents with the ability to perform actions and retrieve information in real-time.",https://smithery.ai/server/@dkdl9886/dkdl9886,Local,
Tools and frameworks for building dynamic web applications and integrating real-time data,Complex React App,Build and develop modern web applications with ease. Leverage the power of React and Webpack to create dynamic user interfaces and streamline your development workflow.,https://smithery.ai/server/@chakravartyharish/frontend-api,Local,
Tools and frameworks for building dynamic web applications and integrating real-time data,Dashboard SaaS,Integrate with Meta Ads and other sales platforms seamlessly. Build and test your applications using a robust React and TypeScript framework with easy deployment options. Enhance your development workflow with local mock storage for efficient testing without a live database connection.,https://smithery.ai/server/@hugorolimf/dashboard-tiago,Local,
Tools and frameworks for building dynamic web applications and integrating real-time data,2gether,Enhance your applications with seamless integration of external data and tools. Access and manipulate real-world resources dynamically to enrich user interactions and automate workflows. Empower your agents to perform complex tasks effortlessly with our standardized protocol.,https://smithery.ai/server/@8bitsats/ntogethernow,Local,
Tools and frameworks for building dynamic web applications and integrating real-time data,Agentic,Enhance your applications with dynamic context integration. Access and manipulate real-world data and tools seamlessly to improve user interactions and decision-making. Leverage a standardized protocol to connect your LLMs with external resources effortlessly.,https://smithery.ai/server/@tarulahsan/agentic,Local,
Tools and frameworks for building dynamic web applications and integrating real-time data,Append Data to JSON File,Easily append data to a JSON file and display it in an HTML table using Ajax and jQuery's getJSON method. Streamline your data management and enhance user experience with dynamic data loading. Perfect for developers looking to integrate JSON data into their web applications seamlessly.,https://smithery.ai/server/@hoonoh57/append-data-to-json-file-and-display-json-data-to-html-table-using-ajax-jquery-getjson-method,Local,
Tools and frameworks for building dynamic web applications and integrating real-time data,MCP Smith,Enhance your applications with dynamic data integration and real-time context manipulation. Utilize powerful tools and resources to streamline workflows and improve user interactions. Experience seamless integration with external APIs and data sources for a more responsive application.,https://smithery.ai/server/@jsbintu/mcpsmith,Local,
Tools and frameworks for building dynamic web applications and integrating real-time data,Amplify,Enhance your applications with powerful data integration and manipulation capabilities. Seamlessly connect to various data sources and perform complex operations with ease. Empower your projects by leveraging real-time data and tools to create dynamic user experiences.,https://smithery.ai/server/@leogodlike/amplify,Local,
Tools and frameworks for building dynamic web applications and integrating real-time data,DevTools,Connect your AI assistants to external services and tools seamlessly. Enable powerful interactions and data manipulation through a robust and extensible framework. Experience a developer-friendly setup with comprehensive documentation for easy integration.,https://smithery.ai/server/@DXHeroes/mcp-devtools,Local,
Tools and frameworks for building dynamic web applications and integrating real-time data,Resources,Building the operating system for AI,https://smithery.ai/,,
Tools and frameworks for building dynamic web applications and integrating real-time data,Masaj,"Build dynamic web applications with ease using this Angular-based framework. Leverage powerful features like code scaffolding, unit testing, and end-to-end testing to enhance your development workflow. Start your local server and see changes in real-time as you develop your application.",https://smithery.ai/server/@bahaahani/masaj,Local,
Tools and frameworks for building dynamic web applications and integrating real-time data,uTools,"Enhance your applications with powerful tools and resources. Access and manipulate real-world data seamlessly, enabling dynamic interactions and improved functionality. Streamline your workflows with reusable prompts and efficient tool integrations.",https://smithery.ai/server/@mognp2/utools,Local,
Tools and frameworks for building dynamic web applications and integrating real-time data,Guardian Hub,Enhance your applications with real-time data integration and processing capabilities. Utilize a secure and efficient platform to connect various data sources and tools seamlessly. Empower your projects with dynamic interactions and automated workflows.,https://smithery.ai/server/@wesleysfavarin/guardian_hub,Local,
Tools and frameworks for building dynamic web applications and integrating real-time data,Smithery,Empower your applications with dynamic data integration and real-time context manipulation. Seamlessly connect to external resources and tools to enhance your workflows and decision-making processes. Experience a new level of interactivity and efficiency in your projects.,https://smithery.ai/server/@akinoniku/smithery,Local,
Tools and frameworks for building dynamic web applications and integrating real-time data,Testing Server,Enhance your applications with dynamic data integration and real-time processing capabilities. Access and manipulate external resources seamlessly to enrich user interactions. Simplify complex workflows with reusable prompts and tools for efficient development.,https://smithery.ai/server/@Stefano1109/testing,Local,
Tools and frameworks for building dynamic web applications and integrating real-time data,Custom Application,Enhance your workflows by integrating real-time data and tools seamlessly. Utilize a standardized protocol to connect your applications with external resources and actions effortlessly. Empower your agents to interact with the real world through a secure and dynamic interface.,https://smithery.ai/server/@Jay-sigzen/custom_app,Local,
