search_query,name,description,url,type,usage_count
Memory Management,Resources,Building the operating system for AI,https://smithery.ai/,,
Memory Management,Memory Box MCP Server,"Save, search, and format memories with semantic understanding. Enhance your memory management by leveraging advanced semantic search capabilities directly from Cline. Organize and retrieve your memories efficiently with structured formatting and detailed context.",https://smithery.ai/server/@amotivv/memory-box-mcp,Remote,
Memory Management,Memory Bank,"Manage your AI assistant's context seamlessly across sessions. Store, retrieve, and track information with remote server support for enhanced collaboration and persistence.",https://smithery.ai/server/@aakarsh-sasi/memory-bank-mcp,Remote,
Memory Management,Simple JavaScript REPL,"Execute JavaScript code snippets securely in a sandboxed environment. Benefit from comprehensive error handling, memory management, and output formatting to enhance your coding experience. Ideal for testing and evaluating JavaScript code quickly and safely.",https://smithery.ai/server/@AnEntrypoint/mcp-repl,Remote,
Memory Management,Knowledge Graph Memory Server,"Manage and enhance your interactions with a robust knowledge graph. Capture, store, and retrieve contextual information seamlessly using PouchDB for improved data consistency and performance. Organize your memory data by project-specific paths for better management and retrieval.",https://smithery.ai/server/@bneil/mcp-memory-pouchdb,Remote,
Memory Management,Omi MCP Server,"Interact with the Omi API to manage conversations and memories seamlessly. Retrieve, create, and manipulate user data effortlessly, enhancing your applications with rich conversational capabilities.",https://smithery.ai/server/@fourcolors/omi-mcp,Remote,
Memory Management,Memento,"Enhance your LLM applications with a scalable knowledge graph memory system. Utilize semantic search and temporal awareness to manage and retrieve information effectively, ensuring your agents have persistent and contextual memory capabilities.",https://smithery.ai/server/@gannonh/memento-mcp,Remote,
Memory Management,Persistent Memory System,Leverage high-performance vector search and efficient knowledge storage to enhance your applications. Manage entities and relations seamlessly with secure token-based authentication for remote databases. Experience advanced semantic search capabilities powered by libSQL.,https://smithery.ai/server/@joleyline/mcp-memory-libsql,Local,
Memory Management,Memory Bank Server,Manage project memory banks remotely and efficiently.,https://smithery.ai/server/@alioshr/memory-bank-mcp,Remote,9.09k
Memory Management,Zanny's Persistent Memory Manager,"Store, retrieve, and manage your memories effortlessly. Utilize smart keyword detection to interact with your memories using natural language commands. Enjoy unlimited storage and comprehensive logging for all your memory management needs.",https://smithery.ai/server/@zannyonear1h1/mcp-memory-bank-2,Local,
Memory Management,C.W.K. Pippa Memory Manager,"Manage and enhance your AI assistant's memory capabilities. Store, recall, and manage information seamlessly across conversations, making interactions more personalized and effective. Experience a user-friendly interface and robust memory management tailored for Cursor IDE.",https://smithery.ai/server/@neobundy/cwkCursorPippaMCP,Local,
Memory Management,Memory Management Server,"Manage and enhance your chat experience by allowing Claude to remember and recall important information during conversations. Effortlessly add, search, delete, and list memories to create a more personalized interaction. Improve context retention and response relevance with a simple memory text file system.",https://smithery.ai/server/@g0t4/mcp-server-memory-file,Local,
Memory Management,Memory Server,"Manage your knowledge graph effortlessly. Create, update, and query entities and their relationships with strict validation to ensure data consistency. Enhance your applications with a robust memory management system that supports complex queries and observations.",https://smithery.ai/server/@evangstav/python-memory-mcp-server,Local,
Memory Management,Memory Server,"Enhance your Large Language Models with persistent memory capabilities. Store, retrieve, and manage memories seamlessly across conversations to improve context and relevance. Integrate effortlessly with the Claude desktop application for a richer user experience.",https://smithery.ai/server/@WhenMoon-afk/claude-memory-mcp,Local,
Memory Management,Memory Server,"Manage and maintain structured memories across chat sessions with Claude. Enhance your project workflows by saving and retrieving important information seamlessly, ensuring continuity and context in long-term projects. Ideal for software development, research, and collaborative work.",https://smithery.ai/server/@ebailey78/mcp-memory,Local,
Memory Management,Neo4j Knowledge Graph Memory Server,Store and retrieve information from AI interactions using a powerful Neo4j backend. Enhance your AI assistant's capabilities with advanced graph querying and memory management. Experience improved performance and scalability for complex knowledge graph applications.,https://smithery.ai/server/@JovanHsu/mcp-neo4j-memory-server,Local,
