search_query,name,description,설명,url,type,usage_count,topic
Tools and frameworks for building dynamic web applications and integrating real-time data,MCP Server Starter,Build a robust server to enable AI agents to interact with various tools.,AI 에이전트가 다양한 도구와 상호작용할 수 있도록 강력한 서버를 구축합니다.,https://smithery.ai/server/@TheSethRose/mcp-server-starter,Remote,3.79k,2
Tools and frameworks for building dynamic web applications and integrating real-time data,HotNews Server,A Model Context Protocol server that provides real-time hot trending topics from major Chinese social platforms and news sites.,주요 중국 소셜 플랫폼과 뉴스 사이트의 실시간 인기 트렌드 주제를 제공하는 모델 컨텍스트 프로토콜 서버입니다.,https://smithery.ai/server/@wopal/mcp-server-hotnews,Remote,3.62k,0
Tools and frameworks for building dynamic web applications and integrating real-time data,Web Research Server,"Integrate real-time web research capabilities into your workflow. Conduct thorough research with tools for searching, content extraction, and session tracking.","실시간 웹 리서치 기능을 워크플로에 통합합니다. 검색, 콘텐츠 추출 및 세션 추적을 위한 도구로 철저한 리서치를 수행합니다.",https://smithery.ai/server/@chuanmingliu/mcp-webresearch,Remote,3.13k,1
Tools and frameworks for building dynamic web applications and integrating real-time data,Resources,Building the operating system for AI,AI를 위한 운영체제 구축,https://smithery.ai/,,,2
Tools and frameworks for building dynamic web applications and integrating real-time data,Fetch Browser,Fetch web content and perform Google searches seamlessly.,웹 콘텐츠를 가져오고 Google 검색을 원활하게 수행합니다.,https://smithery.ai/server/@TheSethRose/fetch-browser,Remote,,1
Tools and frameworks for building dynamic web applications and integrating real-time data,Web Content Server,Fetch and process web content seamlessly for LLM context using Cloudflare Browser Rendering. Enhance your applications with real-time web data extraction and structured content summarization. Leverage powerful tools to enrich your LLM interactions with relevant web information.,Cloudflare Browser Rendering을 사용하여 LLM 컨텍스트에 대한 웹 콘텐츠를 원활하게 페치하고 처리합니다. 실시간 웹 데이터 추출 및 구조화된 콘텐츠 요약으로 애플리케이션을 강화합니다. 강력한 도구를 활용하여 관련 웹 정보로 LLM 상호 작용을 풍부하게 합니다.,https://smithery.ai/server/@amotivv/cloudflare-browser-rendering,Remote,,1
Tools and frameworks for building dynamic web applications and integrating real-time data,Weather Tool,Provide real-time weather information and forecasts to enhance your applications. Integrate weather data seamlessly and empower users with up-to-date meteorological insights.,실시간 날씨 정보와 예보를 제공하여 애플리케이션을 강화하세요. 날씨 데이터를 원활하게 통합하고 사용자에게 최신 기상 통찰력을 제공하세요.,https://smithery.ai/server/@cedrazgabriel/teste-mcp-cedraz,Remote,,1
Tools and frameworks for building dynamic web applications and integrating real-time data,Singapore LTA MCP Server,"Access real-time transportation information for Singapore. Get bus arrivals, traffic conditions, and train service updates seamlessly.","싱가포르의 실시간 교통 정보에 액세스하세요. 버스 도착, 교통 상황, 기차 서비스 업데이트를 원활하게 받으세요.",https://smithery.ai/server/@arjunkmrm/mcp-sg-lta,Remote,,1
Tools and frameworks for building dynamic web applications and integrating real-time data,Beyond MCP Server,Access social platform data and onchain data seamlessly. Integrate multiple social media platforms with ease and extend functionality as needed. Optimize your LLM interactions with well-formatted context and flexible transport options.,소셜 플랫폼 데이터와 온체인 데이터에 원활하게 액세스하세요. 여러 소셜 미디어 플랫폼을 쉽게 통합하고 필요에 따라 기능을 확장하세요. 잘 포맷된 컨텍스트와 유연한 전송 옵션으로 LLM 상호 작용을 최적화하세요.,https://smithery.ai/server/@Beyond-Network-AI/beyond-mcp-server,Remote,,0
Tools and frameworks for building dynamic web applications and integrating real-time data,Simple MCP Server,Integrate your applications with external data and tools seamlessly. Enhance your workflows by leveraging real-world data and actions through a standardized protocol. Experience dynamic interactions with your LLMs and external resources effortlessly.,애플리케이션을 외부 데이터 및 도구와 원활하게 통합합니다. 표준화된 프로토콜을 통해 실제 데이터와 작업을 활용하여 워크플로를 강화합니다. LLM 및 외부 리소스와의 역동적인 상호 작용을 손쉽게 경험하세요.,https://smithery.ai/server/@BrunoSSantana/poc-simple-mcp-server,Remote,,2
Tools and frameworks for building dynamic web applications and integrating real-time data,FantasyPros API Server,"Access sports data, news, rankings, and projections seamlessly. Retrieve the latest updates and player information for NFL, MLB, NBA, and NHL with ease. Enhance your applications with real-time sports insights and analytics.","스포츠 데이터, 뉴스, 순위 및 예측에 원활하게 액세스하세요. NFL, MLB, NBA 및 NHL에 대한 최신 업데이트 및 선수 정보를 쉽게 검색하세요. 실시간 스포츠 통찰력 및 분석으로 애플리케이션을 강화하세요.",https://smithery.ai/server/@DynamicEndpoints/fantasy-pros-mcp,Remote,,1
Tools and frameworks for building dynamic web applications and integrating real-time data,Durs1111,Enhance your applications with dynamic data integration and real-time context manipulation. Utilize powerful tools and resources to streamline workflows and improve user interactions. Experience seamless connectivity with external data sources and APIs for enriched functionality.,동적 데이터 통합 및 실시간 컨텍스트 조작으로 애플리케이션을 강화하세요. 강력한 도구와 리소스를 활용하여 워크플로를 간소화하고 사용자 상호 작용을 개선하세요. 풍부한 기능을 위해 외부 데이터 소스 및 API와의 원활한 연결을 경험하세요.,https://smithery.ai/server/@Durs1111/durs1111,Local,,2
Tools and frameworks for building dynamic web applications and integrating real-time data,Dynamic Context Integration Server,"Enhance your applications by seamlessly integrating real-world data and tools. Access files, databases, and APIs dynamically to enrich your LLM interactions. Empower your agents with the ability to perform actions and retrieve information in real-time.","실제 데이터와 도구를 원활하게 통합하여 애플리케이션을 강화하세요. 파일, 데이터베이스 및 API에 동적으로 액세스하여 LLM 상호작용을 풍부하게 하세요. 에이전트에게 실시간으로 작업을 수행하고 정보를 검색할 수 있는 기능을 제공하세요.",https://smithery.ai/server/@dkdl9886/dkdl9886,Local,,1
Tools and frameworks for building dynamic web applications and integrating real-time data,Complex React App,Build and develop modern web applications with ease. Leverage the power of React and Webpack to create dynamic user interfaces and streamline your development workflow.,최신 웹 애플리케이션을 쉽게 빌드하고 개발하세요. React와 Webpack의 힘을 활용하여 동적 사용자 인터페이스를 만들고 개발 워크플로를 간소화하세요.,https://smithery.ai/server/@chakravartyharish/frontend-api,Local,,0
Tools and frameworks for building dynamic web applications and integrating real-time data,Dashboard SaaS,Integrate with Meta Ads and other sales platforms seamlessly. Build and test your applications using a robust React and TypeScript framework with easy deployment options. Enhance your development workflow with local mock storage for efficient testing without a live database connection.,Meta Ads 및 기타 판매 플랫폼과 원활하게 통합합니다. 간편한 배포 옵션을 갖춘 강력한 React 및 TypeScript 프레임워크를 사용하여 애플리케이션을 빌드하고 테스트합니다. 라이브 데이터베이스 연결 없이 효율적인 테스트를 위해 로컬 모의 저장소로 개발 워크플로를 강화합니다.,https://smithery.ai/server/@hugorolimf/dashboard-tiago,Local,,0
