name,description,설명,url,type,usage_count,sheet_name,search_query,similarity_score,usage_count_numeric,similarity_normalized,usage_normalized,composite_score
Gmail MCP,"Manage your emails effortlessly with 60+ tools for drafting, sending, retrieving, and organizing messages. Streamline your email workflow with complete Gmail API coverage, including label and thread management.","60개 이상의 메시지 초안 작성, 전송, 검색 및 정리 도구로 이메일을 손쉽게 관리하세요. 라벨 및 스레드 관리를 포함한 완전한 Gmail API 범위로 이메일 워크플로를 간소화하세요.",https://smithery.ai/server/@shinzo-labs/gmail-mcp,Remote,,featured_category,,0.16826986475022299,0,1.0,1.0,1.0
Everart,Image generation server utilizing EverArt's API with multiple model options for generating images.,"다양한 모델 옵션을 갖춘 EverArt의 API를 활용한 이미지 생성 서버로, 이미지를 생성합니다.",https://smithery.ai/server/@smithery-ai/everart,Remote,,featured_category,,0.16264176144254155,0,0.9272363480696456,1.0,0.9490654436487518
CoinGecko Server,"Access cryptocurrency data including prices, market cap, and historical data from the CoinGecko API.","CoinGecko API를 통해 가격, 시가총액, 과거 데이터 등의 암호화폐 데이터에 접근하세요.",https://smithery.ai/server/@crazyrabbitLTC/coingecko,Local,,financial_data_analysis,"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",0.137864121720192,0,0.6068954705395387,1.0,0.7248268293776771
AOAI Web Browsing,MCP server implementation for web browsing automation using Azure OpenAI.,Azure OpenAI를 활용한 웹 브라우징 자동화를 위한 MCP 서버 구현.,https://smithery.ai/server/mcp-web-auto,Local,,browser_automation,advanced web browsing automation,0.13372903285152415,0,0.55343444633798,1.0,0.687404112436586
AOAI Web Browsing,MCP server implementation for web browsing automation using Azure OpenAI.,Azure OpenAI를 활용한 웹 브라우징 자동화를 위한 MCP 서버 구현.,https://smithery.ai/server/mcp-web-auto,Local,,ai_integration_solutions,integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,0.13372903285152415,0,0.55343444633798,1.0,0.687404112436586
Logic,Automated reasoning using Prover9/Mace4 for AI systems.,AI 시스템을 위한 Prover9/Mace4를 활용한 자동 추론.,https://smithery.ai/server/mcp_logic,Local,,ai_integration_solutions,integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,0.13350071093121435,0,0.55048255725044,1.0,0.6853377900753079
Expert Server,Provides intelligent query generation and documentation assistance using Claude AI.,Claude AI를 사용하여 지능형 쿼리 생성 및 문서화 지원을 제공합니다.,https://smithery.ai/server/mcp-expert-server,Local,,ai_integration_solutions,integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,0.11214539194819481,0,0.2743875901908767,1.0,0.4920713131336137
Local Utilities,"Access various local system utilities quickly and efficiently. Retrieve system information like time, hostname, public IP, and more with ease. Enhance your MCP-compatible applications with essential local functionalities.","다양한 로컬 시스템 유틸리티에 빠르고 효율적으로 액세스하세요. 시간, 호스트 이름, 공개 IP 등의 시스템 정보를 쉽게 검색하세요. 필수적인 로컬 기능으로 MCP 호환 애플리케이션을 강화하세요.",https://smithery.ai/server/@arjshiv/localutils-mcp-server,Local,,featured_category,,0.09131762046481594,0,0.00511308831150859,1.0,0.303579161818056
Resources,Building the operating system for AI,AI를 위한 운영체제 구축,https://smithery.ai/,,,web_search,web search,0.09092213469032495,0,0.0,1.0,0.3
Resources,Building the operating system for AI,AI를 위한 운영체제 구축,https://smithery.ai/,,,dynamic_web_development,Tools and frameworks for building dynamic web applications and integrating real-time data,0.09092213469032495,0,0.0,1.0,0.3
