name,description,설명,url,type,usage_count,sheet_name,search_query,similarity_score,usage_count_numeric,similarity_normalized,usage_normalized,composite_score
Crypto News Server,Retrieve and read the latest news articles from Coindesk effortlessly. Stay updated with real-time news feeds and access detailed articles directly from their URLs. Enhance your applications with timely cryptocurrency news insights.,Coindesk의 최신 뉴스 기사를 손쉽게 검색하여 읽어보세요. 실시간 뉴스 피드로 최신 정보를 받고 URL에서 직접 자세한 기사에 액세스하세요. 시기적절한 암호화폐 뉴스 통찰력으로 애플리케이션을 강화하세요.,https://smithery.ai/server/@narumiruna/crypto-news-mcp,Local,,financial_data_analysis,"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",0.2089577809693611,0,1.0,1.0,1.0
CoinGecko Server,"Access cryptocurrency data including prices, market cap, and historical data from the CoinGecko API.","CoinGecko API를 통해 가격, 시가총액, 과거 데이터 등의 암호화폐 데이터에 접근하세요.",https://smithery.ai/server/@crazyrabbitLTC/coingecko,Local,,financial_data_analysis,"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",0.19298040276579836,0,0.8000898386367361,1.0,0.8600628870457152
Datadog API Integration,"Leverage Datadog's powerful monitoring features for incident management, logs, metrics, and more. Streamline your observability processes by integrating directly with the Datadog API through this server. Enhance your incident response and monitoring capabilities effortlessly.","Datadog의 강력한 모니터링 기능을 활용하여 인시던트 관리, 로그, 메트릭 등을 관리하세요. 이 서버를 통해 Datadog API와 직접 통합하여 관찰 프로세스를 간소화하세요. 인시던트 대응 및 모니터링 기능을 손쉽게 강화하세요.",https://smithery.ai/server/@winor30/mcp-server-datadog,Remote,,featured_category,,0.15079887595344893,0,0.27231139312649083,1.0,0.49061797518854355
OpenRouter MCP Server,"Access various AI models through a unified, type-safe interface with built-in caching, rate limiting, and error handling. Integrate seamlessly with OpenRouter.ai's diverse model ecosystem to enhance your applications with powerful AI capabilities.","내장된 캐싱, 속도 제한 및 오류 처리 기능이 있는 통합된 유형 안전 인터페이스를 통해 다양한 AI 모델에 액세스하세요. OpenRouter.ai의 다양한 모델 생태계와 원활하게 통합하여 강력한 AI 기능으로 애플리케이션을 강화하세요.",https://smithery.ai/server/@palolxx/openrouteraitest1,Local,,ai_integration_solutions,integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,0.1442143088057643,0,0.18992479225680883,1.0,0.4329473545797662
OpenRouter MCP Server,"Access various AI models through a unified, type-safe interface with built-in caching, rate limiting, and error handling. Integrate seamlessly with OpenRouter.ai's diverse model ecosystem to enhance your applications with powerful AI capabilities.","내장된 캐싱, 속도 제한 및 오류 처리 기능이 있는 통합된 유형 안전 인터페이스를 통해 다양한 AI 모델에 액세스하세요. OpenRouter.ai의 다양한 모델 생태계와 원활하게 통합하여 강력한 AI 기능으로 애플리케이션을 강화하세요.",https://smithery.ai/server/@palolxx/openrouteraitest,Local,,ai_integration_solutions,integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,0.1442143088057643,0,0.18992479225680883,1.0,0.4329473545797662
AIzhitu,Enhance your applications with intelligent data processing capabilities.,지능형 데이터 처리 기능으로 애플리케이션을 강화하세요.,https://smithery.ai/server/@wufeizhizun/aizhitu,Local,,application_integration_tools,"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",0.13679021950633793,0,0.09703402689377447,1.0,0.3679238188256421
AIzhitu,Enhance your applications with intelligent data processing capabilities.,지능형 데이터 처리 기능으로 애플리케이션을 강화하세요.,https://smithery.ai/server/@wufeizhizun/aizhitu,Local,,ai_integration_solutions,integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,0.13679021950633793,0,0.09703402689377447,1.0,0.3679238188256421
Logaflow,Enhance your applications with real-time logging and monitoring capabilities. Streamline your data flow and gain insights effortlessly with our powerful tools. Integrate seamlessly and elevate your development experience.,실시간 로깅 및 모니터링 기능으로 애플리케이션을 강화하세요. 강력한 도구로 데이터 흐름을 간소화하고 손쉽게 통찰력을 얻으세요. 원활하게 통합하고 개발 경험을 향상하세요.,https://smithery.ai/server/@antunesgabriel/logaflow-mcp-server,Remote,,featured_category,,0.12903498917825412,0,0.0,1.0,0.3
Logaflow,Enhance your applications with real-time logging and monitoring capabilities. Streamline your data flow and gain insights effortlessly with our powerful tools. Integrate seamlessly and elevate your development experience.,실시간 로깅 및 모니터링 기능으로 애플리케이션을 강화하세요. 강력한 도구로 데이터 흐름을 간소화하고 손쉽게 통찰력을 얻으세요. 원활하게 통합하고 개발 경험을 향상하세요.,https://smithery.ai/server/@antunesgabriel/logaflow-mcp-server,Remote,,application_integration_tools,"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",0.12903498917825412,0,0.0,1.0,0.3
Logaflow,Enhance your applications with real-time logging and monitoring capabilities. Streamline your data flow and gain insights effortlessly with our powerful tools. Integrate seamlessly and elevate your development experience.,실시간 로깅 및 모니터링 기능으로 애플리케이션을 강화하세요. 강력한 도구로 데이터 흐름을 간소화하고 손쉽게 통찰력을 얻으세요. 원활하게 통합하고 개발 경험을 향상하세요.,https://smithery.ai/server/@antunesgabriel/logaflow-mcp-server,Remote,,featured_category,,0.12903498917825412,0,0.0,1.0,0.3
