search_query,name,description,설명,url,type,usage_count,topic
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",Resources,Building the operating system for AI,AI를 위한 운영체제 구축,https://smithery.ai/,,,3
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",Crypto Price & Market Analysis Server,Provide real-time cryptocurrency price data and market analysis.,실시간 암호화폐 가격 데이터와 시장 분석을 제공합니다.,https://smithery.ai/server/@truss44/mcp-crypto-price,Remote,9.35k,2
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",Lunchmoney MCP Server,Interact with your Lunchmoney transactions and budgets through AI assistants.,AI 조수를 통해 Lunchmoney 거래 및 예산을 처리하세요.,https://smithery.ai/server/@leafeye/lunchmoney-mcp-server,Remote,6.68k,3
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",MCP Server Starter,Build a robust server to enable AI agents to interact with various tools.,AI 에이전트가 다양한 도구와 상호작용할 수 있도록 강력한 서버를 구축합니다.,https://smithery.ai/server/@TheSethRose/mcp-server-starter,Remote,3.79k,3
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",Alpha Vantage Stock Server,"Access real-time and historical stock market data effortlessly. Get intraday and daily stock data, generate alerts based on price movements, and utilize stock data as resources for analysis. Enhance your financial insights with seamless integration into your applications.","실시간 및 과거 주식 시장 데이터에 손쉽게 액세스하세요. 일중 및 일별 주식 데이터를 얻고, 가격 변동에 따라 알림을 생성하고, 주식 데이터를 분석 리소스로 활용하세요. 애플리케이션에 원활하게 통합하여 재무 통찰력을 강화하세요.",https://smithery.ai/server/@qubaomingg/stock-analysis-mcp,Remote,,2
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",Coin MCP Server,"Fetch the latest cryptocurrency prices effortlessly using our server. Simply provide a token symbol, and receive real-time price data from Bitget’s API. It's fast, simple, and designed for crypto enthusiasts and traders alike!",저희 서버를 사용하여 최신 암호화폐 가격을 손쉽게 가져오세요. 토큰 심볼을 제공하고 Bitget의 API에서 실시간 가격 데이터를 수신하기만 하면 됩니다. 빠르고 간단하며 암호화폐 애호가와 트레이더 모두를 위해 설계되었습니다!,https://smithery.ai/server/@pwh-pwh/coin-mcp-server,Remote,,1
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",Helius,"Access Solana blockchain data seamlessly. Check wallet balances, retrieve blockchain information, and interact with tokens and NFTs directly through Claude.","Solana 블록체인 데이터에 원활하게 액세스하세요. 지갑 잔액을 확인하고, 블록체인 정보를 검색하고, Claude를 통해 토큰과 NFT와 직접 상호 작용하세요.",https://smithery.ai/server/@dcSpark/mcp-server-helius,Local,,1
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",Algorand MCP Server,"Interact seamlessly with the Algorand blockchain using a comprehensive set of tools and resources. Manage accounts, create assets, and execute transactions effortlessly. Leverage real-time and historical data access to enhance your blockchain applications.","포괄적인 도구와 리소스 세트를 사용하여 Algorand 블록체인과 원활하게 상호 작용하세요. 계정을 관리하고, 자산을 생성하고, 거래를 손쉽게 실행하세요. 실시간 및 과거 데이터 액세스를 활용하여 블록체인 애플리케이션을 강화하세요.",https://smithery.ai/server/@GoPlausible/algorand-mcp,Remote,,2
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",Etherscan Tools,"Access Ethereum blockchain data via Etherscan's API, including balances, transactions, token transfers, contract ABIs, gas prices, and ENS resolution.","Etherscan의 API를 통해 잔액, 거래, 토큰 전송, 계약 ABI, 가스 가격, ENS 해결을 포함한 Ethereum 블록체인 데이터에 액세스하세요.",https://smithery.ai/server/@crazyrabbitLTC/mcp-etherscan-server,Remote,,0
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",Financial Data Server,MCP server for fetching financial data from Alpha Vantage.,Alpha Vantage에서 재무 데이터를 가져오기 위한 MCP 서버.,https://smithery.ai/server/findata-mcp-server,Remote,,1
