search_query,name,description,설명,url,type,usage_count,topic
memory systems and memory extensions for agents,Memory Bank Server,Manage project memory banks remotely and efficiently.,프로젝트 메모리 뱅크를 원격으로 효율적으로 관리합니다.,https://smithery.ai/server/@alioshr/memory-bank-mcp,Remote,9.09k,0
memory systems and memory extensions for agents,Knowledge Graph Memory Server,"Enable your agents to remember user information across chats by utilizing a local knowledge graph. Enhance interactions by creating, updating, and retrieving personalized memories seamlessly. Experience a more engaging and tailored conversation with your AI assistant.","로컬 지식 그래프를 활용하여 채팅에서 에이전트가 사용자 정보를 기억할 수 있도록 하세요. 개인화된 기억을 원활하게 만들고, 업데이트하고, 검색하여 상호 작용을 강화하세요. AI 어시스턴트와 더욱 매력적이고 맞춤화된 대화를 경험하세요.",https://smithery.ai/server/@jlia0/servers,Local,5.11k,1
memory systems and memory extensions for agents,Resources,Building the operating system for AI,AI를 위한 운영체제 구축,https://smithery.ai/,,,0
memory systems and memory extensions for agents,DuckDB Knowledge Graph Memory Server,"Enhance your conversational agents with a robust memory system that efficiently retrieves and updates user information. Leverage the power of DuckDB for fast, scalable, and flexible querying of knowledge graphs. Transform interactions by maintaining a rich context of user preferences and relationships.",사용자 정보를 효율적으로 검색하고 업데이트하는 강력한 메모리 시스템으로 대화형 에이전트를 강화하세요. DuckDB의 힘을 활용하여 지식 그래프를 빠르고 확장 가능하며 유연하게 쿼리하세요. 사용자 선호도와 관계의 풍부한 맥락을 유지하여 상호 작용을 변환하세요.,https://smithery.ai/server/@IzumiSy/mcp-duckdb-memory-server,Local,,1
memory systems and memory extensions for agents,Memory Box MCP Server,"Save, search, and format memories with semantic understanding. Enhance your memory management by leveraging advanced semantic search capabilities directly from Cline. Organize and retrieve your memories efficiently with structured formatting and detailed context.","의미적 이해를 통해 기억을 저장, 검색 및 포맷합니다. Cline에서 직접 고급 의미적 검색 기능을 활용하여 기억 관리를 강화합니다. 구조화된 포맷과 자세한 맥락으로 기억을 효율적으로 정리하고 검색합니다.",https://smithery.ai/server/@amotivv/memory-box-mcp,Remote,,1
memory systems and memory extensions for agents,Memory Bank,"Manage your AI assistant's context seamlessly across sessions. Store, retrieve, and track information with remote server support for enhanced collaboration and persistence.","세션 간에 AI 어시스턴트의 컨텍스트를 원활하게 관리하세요. 향상된 협업 및 지속성을 위해 원격 서버 지원으로 정보를 저장, 검색 및 추적하세요.",https://smithery.ai/server/@aakarsh-sasi/memory-bank-mcp,Remote,,0
memory systems and memory extensions for agents,My Apple Remembers,"Recall and save memories from your Apple Notes effortlessly. Access notes, calendar events, and files on your Mac, and persist important information for future reference with minimal setup. Enjoy universal compatibility across all macOS versions.","Apple Notes에서 손쉽게 추억을 회상하고 저장하세요. Mac에서 메모, 캘린더 이벤트 및 파일에 액세스하고, 최소한의 설정으로 나중에 참조할 수 있도록 중요한 정보를 보관하세요. 모든 macOS 버전에서 범용 호환성을 즐기세요.",https://smithery.ai/server/@baryhuang/my-apple-remembers,Remote,,1
memory systems and memory extensions for agents,Knowledge Graph Memory Server,"Manage and enhance your interactions with a robust knowledge graph. Capture, store, and retrieve contextual information seamlessly using PouchDB for improved data consistency and performance. Organize your memory data by project-specific paths for better management and retrieval.","강력한 지식 그래프로 상호작용을 관리하고 향상시키세요. PouchDB를 사용하여 컨텍스트 정보를 원활하게 캡처, 저장 및 검색하여 데이터 일관성과 성능을 개선하세요. 더 나은 관리와 검색을 위해 프로젝트별 경로로 메모리 데이터를 구성하세요.",https://smithery.ai/server/@bneil/mcp-memory-pouchdb,Remote,,0
memory systems and memory extensions for agents,Knowledge Graph Memory Server,MCP server enabling persistent memory for Claude through a local knowledge graph.,로컬 지식 그래프를 통해 클로드에게 지속적인 메모리를 제공하는 MCP 서버입니다.,https://smithery.ai/server/mcp-knowledge-graph,Local,,0
memory systems and memory extensions for agents,LibSQL Memory,High-performance vector search and persistent memory using libSQL.,libSQL을 사용한 고성능 벡터 검색 및 영구 메모리.,https://smithery.ai/server/mcp-memory-libsql,Local,,0
