Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Featured,,,,,
,,,,,,
,name,description,설명,url,type,usage_count
,Claude Code MCP Server,"Leverage powerful software engineering capabilities through a standardized interface. Execute shell commands, analyze code, and manage files seamlessly. Enhance your development workflow with integrated tools and resources.","표준화된 인터페이스를 통해 강력한 소프트웨어 엔지니어링 기능을 활용하세요. 셸 명령을 실행하고, 코드를 분석하고, 파일을 원활하게 관리하세요. 통합된 도구와 리소스로 개발 워크플로를 강화하세요.",https://smithery.ai/server/@auchenberg/claude-code-mcp,Local,94.24k
,Supabase MCP Server (used by Deploya.dev),Manage your Supabase databases and execute SQL queries autonomously and securely. Leverage built-in safety controls while interacting with your database through Cursor and Windsurf. Simplify your database management with a feature-rich interface that enhances productivity.,Supabase 데이터베이스를 관리하고 SQL 쿼리를 자율적이고 안전하게 실행하세요. Cursor와 Windsurf를 통해 데이터베이스와 상호 작용하는 동안 내장된 안전 제어를 활용하세요. 생산성을 향상시키는 기능이 풍부한 인터페이스로 데이터베이스 관리를 간소화하세요.,https://smithery.ai/server/@Deploya-labs/mcp-supabase,Remote,9.98k
,Crypto Price & Market Analysis Server,Provide real-time cryptocurrency price data and market analysis.,실시간 암호화폐 가격 데이터와 시장 분석을 제공합니다.,https://smithery.ai/server/@truss44/mcp-crypto-price,Remote,9.35k
,Fetch MCP Server,"Fetch web content in various formats such as HTML, JSON, plain text, and Markdown.","HTML, JSON, 일반 텍스트, 마크다운 등 다양한 형식의 웹 콘텐츠를 가져옵니다.",https://smithery.ai/server/fetch-mcp,Remote,9.10k
,Memory Bank Server,Manage project memory banks remotely and efficiently.,프로젝트 메모리 뱅크를 원격으로 효율적으로 관리합니다.,https://smithery.ai/server/@alioshr/memory-bank-mcp,Remote,9.09k
,Sequential Thinking,Enhances problem-solving by breaking down problems into sequential steps.,문제를 순차적인 단계로 나누어 문제 해결 능력을 향상시킵니다.,https://smithery.ai/server/sequential-thinking,Remote,8.21k
,Google Workspace Server,Manage your emails and calendar events programmatically through a unified interface. Interact with Gmail and Calendar APIs to automate tasks like sending emails and scheduling events effortlessly.,통합 인터페이스를 통해 이메일과 캘린더 이벤트를 프로그래밍 방식으로 관리하세요. Gmail 및 캘린더 API와 상호 작용하여 이메일 보내기 및 이벤트 일정 예약과 같은 작업을 손쉽게 자동화하세요.,https://smithery.ai/server/@rishipradeep-think41/gsuite-mcp,Remote,8.16k
,Magic MCP,v0 for MCP. Frontend feels like Magic,MCP용 v0. 프런트엔드는 마법과 같습니다.,https://smithery.ai/server/@21st-dev/magic-mcp,Remote,70.38k
,Stagehand,"Provides cloud browser automation capabilities using Stagehand, enabling LLMs to interact with web pages, take screenshots, and execute JavaScript in a cloud browser environment.","Stagehand를 사용하여 클라우드 브라우저 자동화 기능을 제공하므로 LLM이 클라우드 브라우저 환경에서 웹 페이지와 상호 작용하고, 스크린샷을 찍고, JavaScript를 실행할 수 있습니다.",https://smithery.ai/server/@browserbasehq/mcp-stagehand,Remote,7.93k
,Google Workspace MCP Server,Interact with Gmail and Calendar APIs via MCP interface.,MCP 인터페이스를 통해 Gmail 및 캘린더 API와 상호 작용합니다.,https://smithery.ai/server/google-workspace-server,Remote,7.55k
,Mermaid Diagram Generator,Convert textual Mermaid diagram descriptions into high-quality PNG images. Enhance your AI applications with visual representations of data and processes effortlessly. Customize themes and backgrounds to fit your design needs.,텍스트 인어 다이어그램 설명을 고품질 PNG 이미지로 변환합니다. 데이터와 프로세스의 시각적 표현으로 AI 애플리케이션을 손쉽게 강화합니다. 디자인 요구 사항에 맞게 테마와 배경을 사용자 정의합니다.,https://smithery.ai/server/@peng-shawn/mermaid-mcp-server,Remote,7.52k
,Airbnb Search and Listing Server,"Search for Airbnb listings and get detailed information about specific properties. Effortlessly plan your next trip with structured data and no API key required, while respecting Airbnb's guidelines.",Airbnb 목록을 검색하고 특정 부동산에 대한 자세한 정보를 얻으세요. 구조화된 데이터와 API 키가 필요 없는 다음 여행을 손쉽게 계획하고 Airbnb의 가이드라인을 준수하세요.,https://smithery.ai/server/@openbnb-org/mcp-server-airbnb,Remote,7.49k
,Hyperbrowser,"Scrape, extract structured data, and crawl webpages effortlessly. Enhance your applications with powerful web scraping capabilities and structured data extraction tools.","스크래핑, 구조화된 데이터 추출, 웹페이지 크롤링을 손쉽게 수행하세요. 강력한 웹 스크래핑 기능과 구조화된 데이터 추출 도구로 애플리케이션을 강화하세요.",https://smithery.ai/server/@hyperbrowserai/mcp,Remote,7.31k
,Multi-Model Advisor,Query multiple AI models simultaneously to gain diverse perspectives on your questions. Synthesize insights from various AI personas to enhance your decision-making process. Integrate seamlessly with Claude for a comprehensive advisory experience.,여러 AI 모델을 동시에 쿼리하여 질문에 대한 다양한 관점을 얻으세요. 다양한 AI 페르소나의 통찰력을 종합하여 의사 결정 프로세스를 개선하세요. 클로드와 완벽하게 통합하여 포괄적인 자문 경험을 얻으세요.,https://smithery.ai/server/@YuChenSSR/multi-ai-advisor-mcp,Local,7.30k
,Hacker News,Fetch and parse stories from Hacker News.,Hacker News에서 스토리를 가져와서 구문 분석합니다.,https://smithery.ai/server/@pskill9/hn-server,Remote,7.18k
,MySQL Server,"A Model Context Protocol (MCP) server that enables secure interaction with MySQL databases, allowing AI assistants to list tables, read data, and execute SQL queries through a controlled interface.","MySQL 데이터베이스와 안전하게 상호작용할 수 있는 MCP(Model Context Protocol) 서버로, AI 보조자가 제어된 인터페이스를 통해 테이블을 나열하고, 데이터를 읽고, SQL 쿼리를 실행할 수 있도록 해줍니다.",https://smithery.ai/server/mysql-mcp-server,Local,7.16k
,Instagram Engagement Analysis,"Analyze Instagram engagement metrics, extract demographic insights, and identify potential leads from posts and accounts. Gain actionable insights to enhance your social media strategy and marketing efforts.","Instagram 참여 지표를 분석하고, 인구 통계적 통찰력을 추출하고, 게시물과 계정에서 잠재적 리드를 파악합니다. 소셜 미디어 전략과 마케팅 노력을 강화하기 위한 실행 가능한 통찰력을 얻으세요.",https://smithery.ai/server/@Bob-lance/instagram-engagement-mcp,Remote,7.13k
,Markdown Downloader,"Download webpages as markdown files effortlessly. Convert web content into markdown format with a simple command, and manage your downloads with ease. Enjoy a configurable download directory and automatic date-stamped filenames for organized storage.","웹페이지를 마크다운 파일로 손쉽게 다운로드하세요. 간단한 명령으로 웹 콘텐츠를 마크다운 형식으로 변환하고, 다운로드를 쉽게 관리하세요. 구성 가능한 다운로드 디렉토리와 자동 날짜가 찍힌 파일 이름을 사용하여 체계적으로 보관하세요.",https://smithery.ai/server/@dazeb/markdown-downloader,Remote,7.11k
