search_query,name,description,url,type,usage_count
advanced web browsing automation,Resources,Building the operating system for AI,https://smithery.ai/,,
advanced web browsing automation,Browserbase,"Provides cloud browser automation capabilities using Browserbase, enabling LLMs to interact with web pages, take screenshots, and execute JavaScript in a cloud browser environment.",https://smithery.ai/server/@browserbasehq/mcp-browserbase,Remote,48.07k
advanced web browsing automation,Stagehand,"Provides cloud browser automation capabilities using Stagehand, enabling LLMs to interact with web pages, take screenshots, and execute JavaScript in a cloud browser environment.",https://smithery.ai/server/@browserbasehq/mcp-stagehand,Remote,7.93k
advanced web browsing automation,Hyperbrowser,"Scrape, extract structured data, and crawl webpages effortlessly. Enhance your applications with powerful web scraping capabilities and structured data extraction tools.",https://smithery.ai/server/@hyperbrowserai/mcp,Remote,7.32k
advanced web browsing automation,Playwright Automation,"Automate web interactions effortlessly with this server. Enable your LLMs to navigate, extract data, and perform actions on web pages using structured accessibility snapshots, enhancing reliability and performance without the need for visual models.",https://smithery.ai/server/@microsoft/playwright-mcp,Local,2.66k
advanced web browsing automation,Playwright,Control browsers and automate web interactions seamlessly.,https://smithery.ai/server/@showfive/playwright-mcp-server,Remote,13.04k
advanced web browsing automation,Browser Automation Agent,"Automate browser interactions seamlessly with our agent. Leverage the power of the Model Context Protocol to enhance your web automation tasks. Experience state management, interactive element manipulation, and more for efficient browser automation.",https://smithery.ai/server/@ashley-ha/mcp-manus,Remote,2.02k
advanced web browsing automation,Web Research Server,"Integrate real-time web research capabilities into your workflow. Conduct thorough research with tools for searching, content extraction, and session tracking.",https://smithery.ai/server/@chuanmingliu/mcp-webresearch,Remote,3.13k
advanced web browsing automation,Web Research Server,"Bring real-time info into your conversations and easily research any topic. Utilize Google search integration, webpage content extraction, and session tracking to enhance your research capabilities. Capture screenshots and maintain a comprehensive record of your research sessions for better insights.",https://smithery.ai/server/@oneshot-engineering/mcp-webresearch,Remote,2.48k
advanced web browsing automation,Oxylabs MCP,Fetch and process content from specified URLs using the Oxylabs Web Scraper API.,https://smithery.ai/server/@oxylabs/oxylabs-mcp,Remote,2.08k
advanced web browsing automation,JigsawStack AI Web Scraper,"Scrape any website instantly and get consistent structured data in seconds without writing any css selector code, check out API documentation here: https://jigsawstack.com/docs/api-reference/ai/scrape Get your API key here: https://jigsawstack.com/dashboard/",https://smithery.ai/server/@JigsawStack/ai-web-scraper,Remote,
advanced web browsing automation,Playwright MCP,"Connect AI assistants directly to your DOM for faster, smarter test automation. Enable AI tools to see your application structure, generating precise Playwright tests based on real elements rather than descriptions alone.",https://smithery.ai/server/@Ashish-Bansal/playwright-mcp,Local,
advanced web browsing automation,MCP Servers,"Automate browser tasks effortlessly. Control a headless browser for navigation, screenshot capturing, and element interaction, all through a simple interface. Enhance your automation projects with dynamic resource access and server lifecycle management.",https://smithery.ai/server/@devalexandre/mcp-servers,Remote,
advanced web browsing automation,Configurable Puppeteer Server,"Automate browser interactions effortlessly. Capture screenshots, execute JavaScript, and navigate web pages with customizable options. Enhance your LLM's capabilities with real-time web automation.",https://smithery.ai/server/@afshawnlotfi/mcp-configurable-puppeteer,Remote,
advanced web browsing automation,RAG Web Browser Server,"This server allows AI models to perform web searches and scrape content, returning it in Markdown format via the RAG Web Browser Actor.",https://smithery.ai/server/mcp-server-rag-web-browser,Remote,
advanced web browsing automation,BrowserCat MCP Server,"Automate web interactions effortlessly with our cloud-based browser service. Navigate, take screenshots, and execute JavaScript in a real browser environment without any local installations. Enhance your LLM capabilities with seamless browser automation.",https://smithery.ai/server/@browsercat/browsercat-mcp-server,Remote,
advanced web browsing automation,Web Content Server,Fetch and process web content seamlessly for LLM context using Cloudflare Browser Rendering. Enhance your applications with real-time web data extraction and structured content summarization. Leverage powerful tools to enrich your LLM interactions with relevant web information.,https://smithery.ai/server/@amotivv/cloudflare-browser-rendering,Remote,
advanced web browsing automation,Browserbase MCP Server,"Automate web browsing and data extraction with ease. Interact with web pages, capture screenshots, and execute JavaScript in a cloud environment to enhance your AI applications. Streamline your workflows by integrating powerful browser automation capabilities into your LLM solutions.",https://smithery.ai/server/@canbetry/mcp-server-browserbase,Remote,
advanced web browsing automation,Browserbase MCP Server,"Automate cloud browser interactions and extract data seamlessly. Enhance your AI applications with capabilities like web navigation, screenshot capture, and JavaScript execution in a cloud environment.",https://smithery.ai/server/@1050202387/mcp-server-browserbase,Remote,
advanced web browsing automation,WebAgentQA,Start your server and let your code agent debug your web application effortlessly. Enhance your development workflow by integrating advanced AI capabilities to automate testing and debugging. Simplify your coding process with intelligent assistance from the WebAgentQA.,https://smithery.ai/server/@Operative-Sh/web-agent-qa,Remote,
advanced web browsing automation,LocalAPI MCP Server,"Enable LLMs to interact with browser functionalities like creating, updating, and managing browser instances seamlessly. Automate browser operations and enhance your workflow with advanced fingerprint and proxy configurations. Simplify your browser management tasks with intuitive commands and integrations.",https://smithery.ai/server/@AdsPower/local-api-mcp-typescript,Remote,
advanced web browsing automation,Resources,Building the operating system for AI,https://smithery.ai/,,
advanced web browsing automation,Puppeteer Browser,"Browser automation server that enables interaction with web pages, taking screenshots, and executing JavaScript in a real browser environment",https://smithery.ai/server/@smithery-ai/puppeteer,Local,7.74k
advanced web browsing automation,Browser Use (used by Deploya.dev),"Automate your web browsing tasks with AI-driven control. Navigate pages, fill forms, and interact with elements using natural language commands. Enhance your browsing experience with visual understanding and state persistence across sessions.",https://smithery.ai/server/@Deploya-labs/mcp-browser-use,Remote,
advanced web browsing automation,Selenium WebDriver Automation,Enable browser automation through standardized MCP clients.,https://smithery.ai/server/@angiejones/mcp-selenium,Local,
advanced web browsing automation,Browser Automation Server,Execute browser automation tasks using natural language commands. Simplify your workflow by automating browser actions effortlessly through a simple API. Leverage the power of OpenAI's GPT models to interpret your commands and perform tasks seamlessly.,https://smithery.ai/server/@jonnyhoff/mcp-browser-use,Local,
advanced web browsing automation,Browser Use,"Enable AI to control your browser effortlessly. Automate tasks and enhance your AI agents' capabilities with seamless browser integration. Experience instant browser automation with our hosted version, no setup required!",https://smithery.ai/server/@kkk929/browser-use,Local,
advanced web browsing automation,Browser Use,Automates interactions with the browser for testing and development.,https://smithery.ai/server/mcp_server_browser_use,Local,
advanced web browsing automation,Web Browser,Transform your AI applications with advanced web browsing capabilities.,https://smithery.ai/server/web-browser-mcp-server,Local,
advanced web browsing automation,BrowserTools,"Enhance your AI tools with powerful browser monitoring and interaction capabilities. Capture and analyze browser data seamlessly through a Chrome extension, enabling your AI applications to perform audits and optimizations directly from your IDE. Experience improved performance, accessibility, and SEO insights without leaving your development environment.",https://smithery.ai/server/@Sugatraj/Cursor-Browser-Tools-MCP,Local,
advanced web browsing automation,BrowserTools,"Enhance your AI applications with powerful browser monitoring and interaction capabilities. Capture and analyze browser data seamlessly through a Chrome extension, enabling your AI tools to provide actionable insights without leaving your IDE. Run comprehensive audits for accessibility, performance, SEO, and best practices effortlessly.",https://smithery.ai/server/@oenius/browser-tools-mcp,Local,
advanced web browsing automation,AOAI Web Browsing,MCP server implementation for web browsing automation using Azure OpenAI.,https://smithery.ai/server/mcp-web-auto,Local,
advanced web browsing automation,Selenium Advance,Enhance your web automation capabilities with advanced features and tools. Streamline your testing processes and improve efficiency with powerful integrations. Experience seamless interaction with web applications through robust automation scripts.,https://smithery.ai/server/@rootqat/seleniumadvance,Local,
advanced web browsing automation,BrowserTools,"Enhance your AI applications by enabling them to monitor and interact with browser data seamlessly. Capture console logs, network activity, and screenshots directly from your browser to empower your AI tools. Experience a secure, local solution that keeps your data private while providing powerful insights.",https://smithery.ai/server/@chikingsley/browser-tools-mcp,Local,
advanced web browsing automation,Desktop Automation,"Control your desktop environment effortlessly. Automate mouse movements, simulate keyboard inputs, and capture screenshots with ease. Enhance your LLM's capabilities by integrating desktop automation features seamlessly.",https://smithery.ai/server/@tanob/mcp-desktop-automation,Local,
advanced web browsing automation,Stealth Browser,Navigate websites and capture screenshots while evading bot detection systems. Utilize advanced stealth techniques to modify browser fingerprints and ensure your web interactions appear as regular user traffic.,https://smithery.ai/server/@newbeb/stealth-browser-mcp,Local,
advanced web browsing automation,Web Scraper,Extract data from websites effortlessly. Automate your data collection process and integrate it with your applications seamlessly.,https://smithery.ai/server/@buxiny/web-scraper-mcp,Local,
advanced web browsing automation,WebUI,Interact seamlessly with AI agents through a user-friendly interface. Utilize various Large Language Models and maintain persistent browser sessions for enhanced productivity. Experience high-definition screen recording and custom browser support without the hassle of re-authentication.,https://smithery.ai/server/@Muzzera/web-ui,Local,
advanced web browsing automation,HyperBrowser,Enhance your browsing experience with advanced features and tools. Access a variety of resources and perform actions seamlessly while navigating the web. Transform the way you interact with online content and improve your productivity.,https://smithery.ai/server/@Leejoongjae123/hyperbrowser,Local,
advanced web browsing automation,Web Crawler,Extract website content and save it as markdown files. Map website structures and links efficiently while processing multiple URLs in batches.,https://smithery.ai/server/@jmh108/md-webcrawl-mcp,Local,
advanced web browsing automation,Accessibility Scanner,Perform automated accessibility scans of web pages using Playwright and Axe-core.,https://smithery.ai/server/@JustasMonkev/mcp-accessibility-scanner,Local,
advanced web browsing automation,WebSearch,Perform intelligent web searches and extract specific information from web pages using natural language prompts. Leverage advanced web scraping and crawling capabilities to gather and analyze content seamlessly.,https://smithery.ai/server/@m4s1t4/webSearch-Tools,Local,
advanced web browsing automation,Resources,Building the operating system for AI,https://smithery.ai/,,
advanced web browsing automation,Puppeteer,"Automate web interactions and capture screenshots effortlessly. Enable your LLMs to navigate web pages, execute JavaScript, and monitor console logs in real-time. Enhance your applications with powerful browser automation capabilities.",https://smithery.ai/server/@cploujoux/mcp-puppeteer,Local,
advanced web browsing automation,Browser Use Server,Automate browser tasks using Python scripts.,https://smithery.ai/server/@ztobs/cline-browser-use-mcp,Local,
advanced web browsing automation,Web Search,"Integrate real-time web search capabilities into your AI assistant. Perform both basic and advanced searches with markdown-formatted results, enhancing your assistant's ability to provide up-to-date information. Empower your AI with a seamless connection to the internet for comprehensive responses.",https://smithery.ai/server/@mshojaei77/ReActMCP,Local,
advanced web browsing automation,Web Browser Server,Advanced web browsing server using Playwright for headless interactions.,https://smithery.ai/server/@random-robbie/mcp-web-browser,Local,
advanced web browsing automation,Fetcher,Effortlessly retrieve web page content using AI-powered capabilities. Leverage the Playwright headless browser to navigate and extract information quickly and efficiently. Simplify your web scraping tasks with easy setup and configuration.,https://smithery.ai/server/@everford/fetcher-mcp,Local,
advanced web browsing automation,Automate GUI Testing and Control,"Control mouse movements, simulate keyboard input, and take screenshots effortlessly. Enhance your applications with automated GUI testing capabilities across multiple platforms. Streamline your workflow by integrating GUI automation into your projects with ease.",https://smithery.ai/server/@hetaoBackend/mcp-pyautogui-server,Local,
advanced web browsing automation,Fetcher,Fetch web page content effortlessly using a headless browser. Extract meaningful content from dynamic web pages while optimizing performance and bandwidth. Enjoy flexible output formats and robust error handling for reliable operations.,https://smithery.ai/server/@jae-jae/fetcher-mcp,Local,
advanced web browsing automation,SEO Automation and Optimization,Automate your SEO tasks and optimize your content with AI-powered insights. Leverage Google Ads Keyword Planner for effective keyword research and competitor analysis. Enhance your online presence with tailored SEO recommendations and SERP analysis.,https://smithery.ai/server/@ccnn2509/app-seo-ai,Remote,
advanced web browsing automation,Smithery Browser Base,Enhance your browsing experience with powerful tools and resources. Access and manipulate web data seamlessly to improve productivity and streamline workflows. Transform how you interact with the web by integrating advanced capabilities into your browser.,https://smithery.ai/server/@Santhosh16R/smithery_browserbase,Local,
advanced web browsing automation,Browserbase MCP Server,"Automate cloud browser interactions and extract data seamlessly. Enhance your LLM applications with capabilities like web navigation, screenshot capture, and JavaScript execution in a cloud environment.",https://smithery.ai/server/@xinzhongyouhai/mcp-server-browserbase,Local,
advanced web browsing automation,Query Table,"Extract and query data from various financial websites seamlessly. Switch between sources effortlessly if one becomes unavailable, ensuring continuous access to critical information. Leverage browser automation for accurate data retrieval without the hassle of manual logins or complex request handling.",https://smithery.ai/server/@wukan1986/query_table,Local,
advanced web browsing automation,Web Accessibility Analysis Server,Analyze web accessibility and simulate color blindness for any URL.,https://smithery.ai/server/@bilhasry-deriv/mcp-web-a11y,Local,
advanced web browsing automation,SEO Automation and Optimization,Automate your SEO tasks and optimize your strategies with AI-powered insights. Leverage Google Ads Keyword Planner for effective keyword research and competitor analysis. Enhance your digital marketing efforts with integrated tools for SERP analysis and SEO recommendations.,https://smithery.ai/server/@ayushsinghvi92/app-seo-ai,Remote,
advanced web browsing automation,Cursor A11y,"Run accessibility tests on web applications to identify issues and improve compliance. Leverage axe-core and Puppeteer for detailed violation reports, including impact levels and affected elements. Enhance your web development process by ensuring accessibility standards are met effortlessly.",https://smithery.ai/server/@westsideori/cursor-a11y-mcp,Local,
advanced web browsing automation,AI 文章改寫助手,提升文章寫作效率，快速改寫和優化文本內容。支持多種 AI 模型和自定義指令。,https://smithery.ai/server/@azrae26/gpt_text_rewriting,Local,
advanced web browsing automation,WebSearch,Enable your AI assistants to perform real-time web searches and retrieve up-to-date information on any topic. Integrate seamlessly with the WebSearch Crawler API for enhanced search capabilities. Empower your applications with instant access to the latest web content.,https://smithery.ai/server/@mnhlt/websearch-mcp,Local,
advanced web browsing automation,Puppeteer MCP Server,"Automate browser interactions effortlessly. Navigate web pages, capture screenshots, and execute JavaScript in a real browser environment, all while leveraging the power of LLMs. Enhance your applications with robust browser automation capabilities using this server.",https://smithery.ai/server/@twolven/mcp-server-puppeteer-py,Local,
advanced web browsing automation,Playwright MCP Server,"Retrieve web page content and interact with it seamlessly. Navigate, extract, and simulate user actions on web pages using a standardized protocol. Enhance your applications with powerful web automation capabilities.",https://smithery.ai/server/@Kotelberg/playwright-mcp-server,Local,
advanced web browsing automation,WebSearch,Perform intelligent web searches and extract specific information from web pages using natural language prompts. Leverage advanced web scraping and crawling capabilities to enhance your content analysis and retrieval tasks.,https://smithery.ai/server/@josemartinrodriguezmortaloni/webSearch-Tools,Local,
advanced web browsing automation,Puppeteer MCP Server,Automate browser interactions and manage Chrome instances.,https://smithery.ai/server/@merajmehrabi/puppeteer-mcp-server,Local,
