search_query,name,description,설명,url,type,usage_count,topic
advanced web browsing automation,Stagehand,"Provides cloud browser automation capabilities using Stagehand, enabling LLMs to interact with web pages, take screenshots, and execute JavaScript in a cloud browser environment.","Stagehand를 사용하여 클라우드 브라우저 자동화 기능을 제공하므로 LLM이 클라우드 브라우저 환경에서 웹 페이지와 상호 작용하고, 스크린샷을 찍고, JavaScript를 실행할 수 있습니다.",https://smithery.ai/server/@browserbasehq/mcp-stagehand,Remote,7.93k,1
advanced web browsing automation,Puppeteer Browser,"Browser automation server that enables interaction with web pages, taking screenshots, and executing JavaScript in a real browser environment","실제 브라우저 환경에서 웹 페이지와의 상호작용, 스크린샷 촬영 및 JavaScript 실행을 가능하게 하는 브라우저 자동화 서버",https://smithery.ai/server/@smithery-ai/puppeteer,Local,7.74k,1
advanced web browsing automation,Hyperbrowser,"Scrape, extract structured data, and crawl webpages effortlessly. Enhance your applications with powerful web scraping capabilities and structured data extraction tools.","스크래핑, 구조화된 데이터 추출, 웹페이지 크롤링을 손쉽게 수행하세요. 강력한 웹 스크래핑 기능과 구조화된 데이터 추출 도구로 애플리케이션을 강화하세요.",https://smithery.ai/server/@hyperbrowserai/mcp,Remote,7.32k,1
advanced web browsing automation,Browserbase,"Provides cloud browser automation capabilities using Browserbase, enabling LLMs to interact with web pages, take screenshots, and execute JavaScript in a cloud browser environment.","Browserbase를 사용하여 클라우드 브라우저 자동화 기능을 제공하므로 LLM이 클라우드 브라우저 환경에서 웹 페이지와 상호 작용하고, 스크린샷을 찍고, JavaScript를 실행할 수 있습니다.",https://smithery.ai/server/@browserbasehq/mcp-browserbase,Remote,48.07k,1
advanced web browsing automation,Web Research Server,"Integrate real-time web research capabilities into your workflow. Conduct thorough research with tools for searching, content extraction, and session tracking.","실시간 웹 리서치 기능을 워크플로에 통합합니다. 검색, 콘텐츠 추출 및 세션 추적을 위한 도구로 철저한 리서치를 수행합니다.",https://smithery.ai/server/@chuanmingliu/mcp-webresearch,Remote,3.13k,2
advanced web browsing automation,Playwright Automation,"Automate web interactions effortlessly with this server. Enable your LLMs to navigate, extract data, and perform actions on web pages using structured accessibility snapshots, enhancing reliability and performance without the need for visual models.","이 서버로 웹 상호작용을 손쉽게 자동화하세요. LLM이 구조화된 접근성 스냅샷을 사용하여 웹 페이지를 탐색하고, 데이터를 추출하고, 작업을 수행하도록 하여 시각적 모델이 필요 없이 안정성과 성능을 향상합니다.",https://smithery.ai/server/@microsoft/playwright-mcp,Local,2.66k,1
advanced web browsing automation,Web Research Server,"Bring real-time info into your conversations and easily research any topic. Utilize Google search integration, webpage content extraction, and session tracking to enhance your research capabilities. Capture screenshots and maintain a comprehensive record of your research sessions for better insights.","실시간 정보를 대화에 가져오고 모든 주제를 쉽게 조사하세요. Google 검색 통합, 웹페이지 콘텐츠 추출 및 세션 추적을 활용하여 조사 역량을 강화하세요. 스크린샷을 캡처하고 조사 세션에 대한 포괄적인 기록을 유지하여 더 나은 통찰력을 얻으세요.",https://smithery.ai/server/@oneshot-engineering/mcp-webresearch,Remote,2.48k,2
advanced web browsing automation,Oxylabs MCP,Fetch and process content from specified URLs using the Oxylabs Web Scraper API.,Oxylabs Web Scraper API를 사용하여 지정된 URL에서 콘텐츠를 가져오고 처리합니다.,https://smithery.ai/server/@oxylabs/oxylabs-mcp,Remote,2.08k,0
advanced web browsing automation,Browser Automation Agent,"Automate browser interactions seamlessly with our agent. Leverage the power of the Model Context Protocol to enhance your web automation tasks. Experience state management, interactive element manipulation, and more for efficient browser automation.","에이전트와 원활하게 브라우저 상호작용을 자동화합니다. Model Context Protocol의 힘을 활용하여 웹 자동화 작업을 강화합니다. 효율적인 브라우저 자동화를 위해 상태 관리, 대화형 요소 조작 등을 경험하세요.",https://smithery.ai/server/@ashley-ha/mcp-manus,Remote,2.02k,1
advanced web browsing automation,Playwright,Control browsers and automate web interactions seamlessly.,브라우저를 제어하고 웹 상호작용을 원활하게 자동화하세요.,https://smithery.ai/server/@showfive/playwright-mcp-server,Remote,13.04k,1
advanced web browsing automation,Resources,Building the operating system for AI,AI를 위한 운영체제 구축,https://smithery.ai/,,,0
advanced web browsing automation,JigsawStack AI Web Scraper,"Scrape any website instantly and get consistent structured data in seconds without writing any css selector code, check out API documentation here: https://jigsawstack.com/docs/api-reference/ai/scrape Get your API key here: https://jigsawstack.com/dashboard/",CSS 선택기 코드를 작성하지 않고도 몇 초 만에 모든 웹사이트를 즉시 스크래핑하고 일관된 구조화된 데이터를 얻을 수 있습니다. 여기에서 API 문서를 확인하세요: https://jigsawstack.com/docs/api-reference/ai/scrape 여기에서 API 키를 받으세요: https://jigsawstack.com/dashboard/,https://smithery.ai/server/@JigsawStack/ai-web-scraper,Remote,,2
advanced web browsing automation,Playwright MCP,"Connect AI assistants directly to your DOM for faster, smarter test automation. Enable AI tools to see your application structure, generating precise Playwright tests based on real elements rather than descriptions alone.",더 빠르고 스마트한 테스트 자동화를 위해 AI 어시스턴트를 DOM에 직접 연결합니다. AI 도구가 애플리케이션 구조를 보고 설명만이 아닌 실제 요소에 기반한 정확한 Playwright 테스트를 생성할 수 있도록 합니다.,https://smithery.ai/server/@Ashish-Bansal/playwright-mcp,Local,,0
advanced web browsing automation,MCP Servers,"Automate browser tasks effortlessly. Control a headless browser for navigation, screenshot capturing, and element interaction, all through a simple interface. Enhance your automation projects with dynamic resource access and server lifecycle management.","브라우저 작업을 손쉽게 자동화합니다. 간단한 인터페이스를 통해 탐색, 스크린샷 캡처, 요소 상호 작용을 위한 헤드리스 브라우저를 제어합니다. 동적 리소스 액세스 및 서버 수명 주기 관리로 자동화 프로젝트를 강화합니다.",https://smithery.ai/server/@devalexandre/mcp-servers,Remote,,1
advanced web browsing automation,Configurable Puppeteer Server,"Automate browser interactions effortlessly. Capture screenshots, execute JavaScript, and navigate web pages with customizable options. Enhance your LLM's capabilities with real-time web automation.","브라우저 상호작용을 손쉽게 자동화합니다. 스크린샷을 캡처하고, JavaScript를 실행하고, 사용자 정의 옵션으로 웹 페이지를 탐색합니다. 실시간 웹 자동화로 LLM의 역량을 강화합니다.",https://smithery.ai/server/@afshawnlotfi/mcp-configurable-puppeteer,Remote,,1
advanced web browsing automation,RAG Web Browser Server,"This server allows AI models to perform web searches and scrape content, returning it in Markdown format via the RAG Web Browser Actor.",이 서버를 사용하면 AI 모델이 웹 검색을 수행하고 콘텐츠를 스크래핑하여 RAG 웹 브라우저 액터를 통해 마크다운 형식으로 반환할 수 있습니다.,https://smithery.ai/server/mcp-server-rag-web-browser,Remote,,2
advanced web browsing automation,BrowserCat MCP Server,"Automate web interactions effortlessly with our cloud-based browser service. Navigate, take screenshots, and execute JavaScript in a real browser environment without any local installations. Enhance your LLM capabilities with seamless browser automation.","클라우드 기반 브라우저 서비스로 웹 상호작용을 손쉽게 자동화하세요. 로컬 설치 없이도 실제 브라우저 환경에서 탐색하고, 스크린샷을 찍고, JavaScript를 실행하세요. 원활한 브라우저 자동화로 LLM 역량을 강화하세요.",https://smithery.ai/server/@browsercat/browsercat-mcp-server,Remote,,1
