search_query,name,description,url,type,usage_count
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",Resources,Building the operating system for AI,https://smithery.ai/,,
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",Crypto Price & Market Analysis Server,Provide real-time cryptocurrency price data and market analysis.,https://smithery.ai/server/@truss44/mcp-crypto-price,Remote,9.39k
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",Lunchmoney MCP Server,Interact with your Lunchmoney transactions and budgets through AI assistants.,https://smithery.ai/server/@leafeye/lunchmoney-mcp-server,Remote,6.68k
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",MCP Server Starter,Build a robust server to enable AI agents to interact with various tools.,https://smithery.ai/server/@TheSethRose/mcp-server-starter,Remote,3.79k
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",Alpha Vantage Stock Server,"Access real-time and historical stock market data effortlessly. Get intraday and daily stock data, generate alerts based on price movements, and utilize stock data as resources for analysis. Enhance your financial insights with seamless integration into your applications.",https://smithery.ai/server/@qubaomingg/stock-analysis-mcp,Remote,
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",Coin MCP Server,"Fetch the latest cryptocurrency prices effortlessly using our server. Simply provide a token symbol, and receive real-time price data from Bitget’s API. It's fast, simple, and designed for crypto enthusiasts and traders alike!",https://smithery.ai/server/@pwh-pwh/coin-mcp-server,Remote,
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",Helius,"Access Solana blockchain data seamlessly. Check wallet balances, retrieve blockchain information, and interact with tokens and NFTs directly through Claude.",https://smithery.ai/server/@dcSpark/mcp-server-helius,Local,
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",Algorand MCP Server,"Interact seamlessly with the Algorand blockchain using a comprehensive set of tools and resources. Manage accounts, create assets, and execute transactions effortlessly. Leverage real-time and historical data access to enhance your blockchain applications.",https://smithery.ai/server/@GoPlausible/algorand-mcp,Remote,
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",Etherscan Tools,"Access Ethereum blockchain data via Etherscan's API, including balances, transactions, token transfers, contract ABIs, gas prices, and ENS resolution.",https://smithery.ai/server/@crazyrabbitLTC/mcp-etherscan-server,Remote,
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",Financial Data Server,MCP server for fetching financial data from Alpha Vantage.,https://smithery.ai/server/findata-mcp-server,Remote,
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",虚拟币价格查询服务,查询最新的虚拟币价格和市场数据，帮助用户获取实时的加密货币信息。无缝集成到支持MCP的AI助手中，提供多种查询和分析功能。,https://smithery.ai/server/@telegramtool/crypto_mcp,Remote,
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",Coinmarket Server,Access Coinmarket API endpoints for currency listings and token quotes.,https://smithery.ai/server/coinmarket-service,Remote,
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",CCXT MCP Server,High-performance CCXT MCP server for cryptocurrency exchange integration.,https://smithery.ai/server/@doggybee/mcp-server-ccxt,Remote,
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",Solana Trading Server,"Facilitate seamless Solana token trading with our server. Create wallets, check balances, and execute swaps effortlessly through a user-friendly interface. Enhance your trading experience with real-time transaction tracking and customizable slippage options.",https://smithery.ai/server/@8bitsats/solanatradingserver,Remote,
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",Pump.fun Data Fetch Tool,Fetch and integrate data seamlessly for your applications using the Model Context Protocol. Enhance your projects with real-time data access and manipulation capabilities. Simplify your data interactions and improve efficiency with this powerful tool.,https://smithery.ai/server/@jun85664396/pump-fun-data-mcp,Remote,
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",Beyond MCP Server,Access social platform data and onchain data seamlessly. Integrate multiple social media platforms with ease and extend functionality as needed. Optimize your LLM interactions with well-formatted context and flexible transport options.,https://smithery.ai/server/@Beyond-Network-AI/beyond-mcp-server,Remote,
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",CoinMarketCap MCP,"Access the complete CoinMarketCap API with 20+ basic endpoints and 50+ total, including cryptocurrency market data, exchange information, and other blockchain-related metrics.",https://smithery.ai/server/@shinzo-labs/coinmarketcap-mcp,Remote,
"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",Penumbra Blockchain,Interact with the Penumbra blockchain for privacy-preserving features.,https://smithery.ai/server/@timeheater/penumbra-mcp,Remote,
