name,description,설명,url,type,usage_count,sheet_name,search_query,similarity_score,usage_count_numeric,similarity_normalized,usage_normalized,composite_score
AI-Powered Interview Roleplay,Engage in realistic interview scenarios with AI personas. Practice your responses and receive instant feedback to improve your interview skills. Customize your interview experience for tailored learning and growth.,AI 페르소나와 현실적인 인터뷰 시나리오에 참여하세요. 답변을 연습하고 즉각적인 피드백을 받아 인터뷰 기술을 향상시키세요. 맞춤형 학습과 성장을 위해 인터뷰 경험을 맞춤화하세요.,https://smithery.ai/server/@Ejb503/systemprompt-mcp-interview,Local,,ai_integration_solutions,integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,0.25044433185076265,0,1.0,1.0,1.0
Cognee,Enhance LLM capabilities with knowledge graph creation and search.,지식 그래프 생성 및 검색을 통해 LLM 역량을 강화하세요.,https://smithery.ai/server/@topoteretes/cognee,Local,,ai_integration_solutions,integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,0.1489550352711787,0,0.1890815812939808,1.0,0.43235710690578655
Flux Studio,Integrate advanced image generation capabilities into your AI coding assistants.,AI 코딩 어시스턴트에 고급 이미지 생성 기능을 통합하세요.,https://smithery.ai/server/@jmanhype/mcp-flux-studio,Local,,application_integration_tools,"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",0.14873666567003338,0,0.18733676743062555,1.0,0.43113573720143783
CoinGecko Server,"Access cryptocurrency data including prices, market cap, and historical data from the CoinGecko API.","CoinGecko API를 통해 가격, 시가총액, 과거 데이터 등의 암호화폐 데이터에 접근하세요.",https://smithery.ai/server/@crazyrabbitLTC/coingecko,Local,,financial_data_analysis,"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",0.14496821509450644,0,0.15722614409724014,1.0,0.41005830086806805
Autonomous Coder Agent,Enhance coding capabilities with intelligent code generation and execution.,지능형 코드 생성 및 실행으로 코딩 기능을 강화하세요.,https://smithery.ai/server/@sfatkhutdinov/autonomous-coder-agent,Remote,,featured_category,,0.14250862312648332,0,0.13757354528543045,1.0,0.3963014816998013
Kobold MCP Server,Integrate KoboldAI's text generation capabilities with MCP-compatible applications.,KoboldAI의 텍스트 생성 기능을 MCP 호환 애플리케이션과 통합합니다.,https://smithery.ai/server/@PhialsBasement/KoboldCPP-MCP-Server,Local,,ai_integration_solutions,integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,0.1310600524456154,0,0.04609732911426523,1.0,0.33226813037998565
Metabase Integration Server,"Integrate your AI assistants with Metabase to access and interact with dashboards, questions, and databases. Execute queries and retrieve structured data seamlessly, enhancing your data-driven decision-making process.","AI 어시스턴트를 Metabase와 통합하여 대시보드, 질문 및 데이터베이스에 액세스하고 상호 작용하세요. 쿼리를 실행하고 구조화된 데이터를 원활하게 검색하여 데이터 기반 의사 결정 프로세스를 개선하세요.",https://smithery.ai/server/@berry-street/berrystreet-metabase-mcp-v2,Local,,application_integration_tools,"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",0.12606284898874928,0,0.006168740959981974,1.0,0.3043181186719874
Metabase Integration Server,"Integrate your AI assistants with Metabase to access and interact with dashboards, questions, and databases. Execute queries and retrieve structured data seamlessly, enhancing your data-driven decision-making process.","AI 어시스턴트를 Metabase와 통합하여 대시보드, 질문 및 데이터베이스에 액세스하고 상호 작용하세요. 쿼리를 실행하고 구조화된 데이터를 원활하게 검색하여 데이터 기반 의사 결정 프로세스를 개선하세요.",https://smithery.ai/server/@berry-street/berrystreet-metabase-mcp,Local,,application_integration_tools,"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",0.12606284898874928,0,0.006168740959981974,1.0,0.3043181186719874
Expert Server,Provides intelligent query generation and documentation assistance using Claude AI.,Claude AI를 사용하여 지능형 쿼리 생성 및 문서화 지원을 제공합니다.,https://smithery.ai/server/mcp-expert-server,Local,,ai_integration_solutions,integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,0.1256211480713521,0,0.002639468203658927,1.0,0.30184762774256124
Systemprompt MCP Core,"A specialized MCP server that enables you to create, manage, and extend AI agents through a prompt and tool management system. This server integrates with systemprompt.io to provide seamless creation, management, and versioning of system prompts through MCP.","프롬프트 및 도구 관리 시스템을 통해 AI 에이전트를 생성, 관리 및 확장할 수 있는 전문 MCP 서버입니다. 이 서버는 systemprompt.io와 통합되어 MCP를 통해 시스템 프롬프트를 원활하게 생성, 관리 및 버전화합니다.",https://smithery.ai/server/systemprompt-agent-server,Local,,ai_integration_solutions,integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,0.12529080932807757,0,0.0,1.0,0.3
