search_query,name,description,설명,url,type,usage_count,topic
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Resources,Building the operating system for AI,AI를 위한 운영체제 구축,https://smithery.ai/,,,4
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Claude Code MCP Server,"Leverage powerful software engineering capabilities through a standardized interface. Execute shell commands, analyze code, and manage files seamlessly. Enhance your development workflow with integrated tools and resources.","표준화된 인터페이스를 통해 강력한 소프트웨어 엔지니어링 기능을 활용하세요. 셸 명령을 실행하고, 코드를 분석하고, 파일을 원활하게 관리하세요. 통합된 도구와 리소스로 개발 워크플로를 강화하세요.",https://smithery.ai/server/@auchenberg/claude-code-mcp,Local,94.29k,2
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Playwright,Control browsers and automate web interactions seamlessly.,브라우저를 제어하고 웹 상호작용을 원활하게 자동화하세요.,https://smithery.ai/server/@showfive/playwright-mcp-server,Remote,13.06k,4
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Linear MCP Server,"Interact with Linear's API to manage issues, projects, and teams programmatically.","Linear의 API와 상호 작용하여 이슈, 프로젝트 및 팀을 프로그래밍 방식으로 관리합니다.",https://smithery.ai/server/@tiovikram/linear-mcp,Remote,12.00k,4
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Code MCP,"Enable AI agents to seamlessly interact with VS Code, enhancing their capabilities to modify files, open projects, and check extension statuses. Streamline your development workflow by integrating AI assistance directly into your coding environment. Experience a more efficient coding process with intelligent tools at your fingertips.","AI 에이전트가 VS Code와 원활하게 상호 작용하여 파일을 수정하고, 프로젝트를 열고, 확장 상태를 확인하는 기능을 강화할 수 있습니다. AI 지원을 코딩 환경에 직접 통합하여 개발 워크플로를 간소화합니다. 손끝에서 지능형 도구를 사용하여 보다 효율적인 코딩 프로세스를 경험하세요.",https://smithery.ai/server/@block/code-mcp,Local,10.53k,2
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",MCP Server Starter,Build a robust server to enable AI agents to interact with various tools.,AI 에이전트가 다양한 도구와 상호작용할 수 있도록 강력한 서버를 구축합니다.,https://smithery.ai/server/@TheSethRose/mcp-server-starter,Remote,3.79k,2
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Wolfram Alpha,Connect to Wolfram Alpha API for computational knowledge.,Wolfram Alpha API에 연결해 계산 지식을 얻으세요.,https://smithery.ai/server/mcp-wolfram-alpha,Remote,6.92k,2
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Google Workspace Server,Manage your emails and calendar events programmatically through a unified interface. Interact with Gmail and Calendar APIs to automate tasks like sending emails and scheduling events effortlessly.,통합 인터페이스를 통해 이메일과 캘린더 이벤트를 프로그래밍 방식으로 관리하세요. Gmail 및 캘린더 API와 상호 작용하여 이메일 보내기 및 이벤트 일정 예약과 같은 작업을 손쉽게 자동화하세요.,https://smithery.ai/server/@rishipradeep-think41/gsuite-mcp,Remote,8.18k,1
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Starwind UI MCP Server,"Enhance your development experience with Starwind UI by utilizing a dedicated server that provides tools for project initialization, component management, and documentation access. Streamline your workflow with features like package manager detection and LLM data fetching, all designed to integrate seamlessly with your AI assistants.","프로젝트 초기화, 구성 요소 관리 및 문서 액세스를 위한 도구를 제공하는 전용 서버를 활용하여 Starwind UI로 개발 경험을 향상시키세요. 패키지 관리자 감지 및 LLM 데이터 페칭과 같은 기능으로 워크플로를 간소화하세요. 이 모든 기능은 AI 어시스턴트와 완벽하게 통합되도록 설계되었습니다.",https://smithery.ai/server/@Boston343/starwind-ui-mcp,Remote,7.07k,2
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Claude Code MCP Server,"Leverage the power of Claude Code to enhance your coding experience. Execute commands, review, fix, and test your code seamlessly with this server. Simplify your development workflow by integrating advanced code capabilities directly into your applications.","Claude Code의 힘을 활용하여 코딩 경험을 향상시키세요. 이 서버로 명령을 실행하고, 코드를 검토하고, 수정하고, 테스트하세요. 고급 코드 기능을 애플리케이션에 직접 통합하여 개발 워크플로를 간소화하세요.",https://smithery.ai/server/@KunihiroS/claude-code-mcp-server,Local,5.77k,2
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Web Research Server,"Integrate real-time web research capabilities into your workflow. Conduct thorough research with tools for searching, content extraction, and session tracking.","실시간 웹 리서치 기능을 워크플로에 통합합니다. 검색, 콘텐츠 추출 및 세션 추적을 위한 도구로 철저한 리서치를 수행합니다.",https://smithery.ai/server/@chuanmingliu/mcp-webresearch,Remote,3.13k,2
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Metabase Integration Server,"Interact with Metabase seamlessly. Access dashboards, execute queries, and retrieve data directly from your Metabase instance, enhancing your AI assistant's capabilities.","Metabase와 원활하게 상호 작용합니다. 대시보드에 액세스하고, 쿼리를 실행하고, Metabase 인스턴스에서 직접 데이터를 검색하여 AI 어시스턴트의 기능을 향상합니다.",https://smithery.ai/server/@imlewc/metabase-server,Remote,1.85k,2
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Ableton Live Integration,"Connect Claude AI to Ableton Live for prompt-assisted music production and track manipulation. Control MIDI and audio tracks, create clips, and manage sessions seamlessly with AI assistance.","Claude AI를 Ableton Live에 연결하여 즉각적인 음악 제작 및 트랙 조작을 지원하세요. AI의 도움으로 MIDI 및 오디오 트랙을 제어하고, 클립을 만들고, 세션을 원활하게 관리하세요.",https://smithery.ai/server/@ahujasid/ableton-mcp,Local,2.50k,1
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Any OpenAI Compatible API Integrations,"Integrate Claude with any OpenAI SDK Compatible Chat Completion API like OpenAI, Perplexity, Groq, xAI, PyroPrompts, etc.","Claude를 OpenAI, Perplexity, Groq, xAI, PyroPrompts 등과 같은 OpenAI SDK 호환 채팅 완성 API와 통합하세요.",https://smithery.ai/server/any-chat-completions-mcp-server,Remote,2.13k,2
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Apple Tools Integration,"Integrate with Apple applications to send and manage messages, emails, notes, contacts, and more.","Apple 애플리케이션과 통합하여 메시지, 이메일, 메모, 연락처 등을 보내고 관리할 수 있습니다.",https://smithery.ai/server/@Dhravya/apple-mcp,Local,,1
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",React MCP,Enable Claude AI to manage and interact with React applications seamlessly.,Claude AI가 React 애플리케이션을 원활하게 관리하고 상호작용할 수 있도록 합니다.,https://smithery.ai/server/@Streen9/react-mcp,Local,1.33k,2
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",AutoGen Server,Create and manage AI agents that collaborate and solve problems through natural language interactions. Enable multi-agent conversations and orchestrate group chats with customizable configurations. Enhance your applications with built-in error handling and response validation for seamless communication between agents.,자연어 상호작용을 통해 협업하고 문제를 해결하는 AI 에이전트를 만들고 관리합니다. 사용자 정의 가능한 구성으로 다중 에이전트 대화를 활성화하고 그룹 채팅을 조율합니다. 에이전트 간의 원활한 커뮤니케이션을 위해 기본 제공 오류 처리 및 응답 검증으로 애플리케이션을 강화합니다.,https://smithery.ai/server/@DynamicEndpoints/autogen_mcp,Remote,1.17k,2
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Perplexity Chat MCP Server,Request expert programming assistance through Perplexity. Streamline your coding solutions and error debugging with interactive responses.,Perplexity를 통해 전문가 프로그래밍 지원을 요청하세요. 대화형 응답으로 코딩 솔루션과 오류 디버깅을 간소화하세요.,https://smithery.ai/server/@daniel-lxs/mcp-perplexity,Remote,1.45k,2
