search_query,name,description,url,type,usage_count
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Resources,Building the operating system for AI,https://smithery.ai/,,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,MySQL Server,"A Model Context Protocol (MCP) server that enables secure interaction with MySQL databases, allowing AI assistants to list tables, read data, and execute SQL queries through a controlled interface.",https://smithery.ai/server/mysql-mcp-server,Local,7.16k
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Multi-Model Advisor,Query multiple AI models simultaneously to gain diverse perspectives on your questions. Synthesize insights from various AI personas to enhance your decision-making process. Integrate seamlessly with Claude for a comprehensive advisory experience.,https://smithery.ai/server/@YuChenSSR/multi-ai-advisor-mcp,Local,7.30k
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,OpenRouter MCP Server,"A Model Context Protocol (MCP) server for integration with OpenRouter.ai, allowing access to various AI models through a unified interface.",https://smithery.ai/server/@mcpserver/openrouterai,Remote,4.68k
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Code MCP,"Enable AI agents to seamlessly interact with VS Code, enhancing their capabilities to modify files, open projects, and check extension statuses. Streamline your development workflow by integrating AI assistance directly into your coding environment. Experience a more efficient coding process with intelligent tools at your fingertips.",https://smithery.ai/server/@block/code-mcp,Local,10.53k
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Knowledge Graph Memory Server,"Enable your agents to remember user information across chats by utilizing a local knowledge graph. Enhance interactions by creating, updating, and retrieving personalized memories seamlessly. Experience a more engaging and tailored conversation with your AI assistant.",https://smithery.ai/server/@jlia0/servers,Local,5.11k
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,MCP Server Starter,Build a robust server to enable AI agents to interact with various tools.,https://smithery.ai/server/@TheSethRose/mcp-server-starter,Remote,3.79k
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,HotNews Server,A Model Context Protocol server that provides real-time hot trending topics from major Chinese social platforms and news sites.,https://smithery.ai/server/@wopal/mcp-server-hotnews,Remote,3.62k
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Any OpenAI Compatible API Integrations,"Integrate Claude with any OpenAI SDK Compatible Chat Completion API like OpenAI, Perplexity, Groq, xAI, PyroPrompts, etc.",https://smithery.ai/server/any-chat-completions-mcp-server,Remote,2.13k
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,File Context Server,"Enable your LLMs to read, search, and analyze code files with advanced caching and real-time file watching capabilities. Streamline your code analysis and improve quality metrics effortlessly. Enhance your development workflow with powerful file operations and smart caching features.",https://smithery.ai/server/@bsmi021/mcp-file-context-server,Remote,2.26k
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,MCP Fetch,A Model Context Protocol server that provides web content fetching capabilities.,https://smithery.ai/server/@kazuph/mcp-fetch,Remote,1.20k
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,AutoGen Server,Create and manage AI agents that collaborate and solve problems through natural language interactions. Enable multi-agent conversations and orchestrate group chats with customizable configurations. Enhance your applications with built-in error handling and response validation for seamless communication between agents.,https://smithery.ai/server/@DynamicEndpoints/autogen_mcp,Remote,1.17k
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,DeepLucid3D UCPF Server,"Enable advanced cognitive analysis and creative problem-solving with structured cognitive tools. Assess cognitive states, generate novel perspectives, and decompose complex problems for effective solutions. Enhance your AI capabilities with a powerful framework for structured thinking.",https://smithery.ai/server/@MushroomFleet/deeplucid3d-mcp,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Luma MCP Server,A Model Context Protocol server for Luma AI video generation,https://smithery.ai/server/@sunwood-ai-labs/luma-mcp-server,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Search1API MCP Server,A Model Context Protocol (MCP) server that provides search and crawl functionality using Search1API.,https://smithery.ai/server/search1api-mcp,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Think MCP Server,"Enhance your AI's reasoning capabilities with the 'think' tool, allowing it to pause and reflect during complex problem-solving. This server improves decision-making consistency and policy adherence, making it ideal for multi-step tasks. Leverage structured thinking to achieve better outcomes in your AI interactions.",https://smithery.ai/server/@marcopesani/think-mcp-server,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,AIO-MCP Server,"A powerful Model Context Protocol (MCP) server implementation with integrations for GitLab, Jira, Confluence, YouTube, Google Maps, and more. This server provides AI-powered search capabilities and various utility tools for development workflows.",https://smithery.ai/server/@athapong/aio-mcp,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Hugging Face MCP Server,"Access Hugging Face's models, datasets, and research papers seamlessly. Interact with a wide range of resources and tools to enhance your LLM's capabilities. Utilize prompt templates for efficient model comparisons and paper summaries.",https://smithery.ai/server/@shreyaskarnik/huggingface-mcp-server,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Twitter Server,"A Model Context Protocol server that allows interaction with Twitter, enabling posting tweets and searching Twitter.",https://smithery.ai/server/@enescinar/twitter-mcp,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Perplexity MCP Zerver,"Leverage AI-powered research capabilities seamlessly without the need for an API key. Perform web searches, retrieve documentation, and analyze code with a modular tool architecture. Enhance your research workflow with integrated chat and API discovery features.",https://smithery.ai/server/@wysh3/perplexity-mcp-zerver,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,OpenAI Server,MCP server for simple interaction with OpenAI API.,https://smithery.ai/server/@mzxrai/mcp-openai,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Resources,Building the operating system for AI,https://smithery.ai/,,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Model Context Protocol Servers,Showcase versatile implementations of the Model Context Protocol for secure LLM access to tools and data.,https://smithery.ai/server/@chuanmingliu/servers,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,RelevanceAI MCP Server,Integrate and utilize tools created in RelevanceAI seamlessly. Enhance your applications with powerful data processing capabilities through a standardized interface. Start leveraging advanced functionalities to improve your workflows today!,https://smithery.ai/server/@RelevanceAI/relevanceai-mcp-server,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Pump.fun Data Fetch Tool,Fetch and integrate data seamlessly for your applications using the Model Context Protocol. Enhance your projects with real-time data access and manipulation capabilities. Simplify your data interactions and improve efficiency with this powerful tool.,https://smithery.ai/server/@jun85664396/pump-fun-data-mcp,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,OpenAI Agents MCP Server,🚀 Supercharge Claude with OpenAI Agents: Instantly extend your AI assistant with OpenAI Agents. This MCP server seamlessly connects Claude to powerful Agent Tools capabilities: Web search • File analysis • Computer control • Intelligent orchestration...,https://smithery.ai/server/@lroolle/openai-agents-mcp-server,Remote,
