search_query,name,description,url,type,usage_count
web search,Resources,Building the operating system for AI,https://smithery.ai/,,
web search,Brave Search,Integrate web search and local search capabilities with Brave.,https://smithery.ai/server/@smithery-ai/brave-search,Remote,156.05k
web search,Exa Search,"Fast, intelligent web search and crawling.

Exa combines embeddings and traditional search to deliver the best results for LLMs.",https://smithery.ai/server/exa,Remote,26.29k
web search,Perplexity Search,Enable AI assistants to perform web searches using Perplexity's Sonar Pro.,https://smithery.ai/server/@arjunkmrm/perplexity-search,Remote,51.67k
web search,DuckDuckGo Search Server,Enable web search capabilities through DuckDuckGo. Fetch and parse webpage content intelligently for enhanced LLM interaction.,https://smithery.ai/server/@nickclyde/duckduckgo-mcp-server,Remote,14.92k
web search,Serper Search and Scrape,"A TypeScript-based MCP server that provides web search and webpage scraping capabilities using the Serper API. This server integrates with Cursor, Cline, Claude Desktop, and any MCP-compatible client to enable powerful web search and content extraction features in one convenient package.",https://smithery.ai/server/@marcopesani/mcp-server-serper,Remote,3.38k
web search,Tavily MCP Server,Enable real-time web search and data extraction capabilities.,https://smithery.ai/server/@tavily-ai/tavily-mcp,Remote,6.80k
web search,Tavily,An MCP server for Tavily's search API providing AI-powered web search capabilities.,https://smithery.ai/server/mcp-tavily,Remote,4.33k
web search,Jina AI,"Provides access to Jina AI's web services through Claude, including web page reading, web search, and fact checking.",https://smithery.ai/server/jina-ai-mcp-server,Remote,4.04k
web search,Perplexity Deep Research,"Enable AI assistants to perform web searches using Perplexity's Deep Research. Note: depending on the client, you might run into connection timeout depending on how long it takes to get response from deep research API. I'm exploring workarounds for this.",https://smithery.ai/server/@arjunkmrm/perplexity-deep-research,Remote,5.72k
web search,Web Research Server,"Integrate real-time web research capabilities into your workflow. Conduct thorough research with tools for searching, content extraction, and session tracking.",https://smithery.ai/server/@chuanmingliu/mcp-webresearch,Remote,3.13k
web search,Web Research Server,"Bring real-time info into your conversations and easily research any topic. Utilize Google search integration, webpage content extraction, and session tracking to enhance your research capabilities. Capture screenshots and maintain a comprehensive record of your research sessions for better insights.",https://smithery.ai/server/@oneshot-engineering/mcp-webresearch,Remote,2.49k
web search,Serper Search and Scrape,Enable powerful web search and content extraction capabilities. Perform web searches and scrape webpage content seamlessly to enhance your applications with real-time data.,https://smithery.ai/server/@tahaswx/mcp-server-serper-test,Remote,
web search,Exa MCP,Enable AI assistants to perform web searches using Exa's powerful search API.,https://smithery.ai/server/@MrunmayS/exa-mcp-server,Remote,
web search,Kagi Search,"Access Kagi's powerful search engine functionality. Enables web searches with high-quality, ad-free results from Kagi's search API.",https://smithery.ai/server/kagi-server,Remote,
web search,JigsawStack AI Web Search,Effortlessly search the Web and get access to high-quality results powered with AI. Learn more about this API here: https://jigsawstack.com/docs/api-reference/web/ai-search Get your jigsawstack API key here: https://jigsawstack.com/dashboard/,https://smithery.ai/server/@JigsawStack/ai-web-search,Remote,
web search,RAG Web Browser Server,"This server allows AI models to perform web searches and scrape content, returning it in Markdown format via the RAG Web Browser Actor.",https://smithery.ai/server/mcp-server-rag-web-browser,Remote,
web search,Kagi,Access Kagi Search API for retrieving information from the web.,https://smithery.ai/server/kagimcp,Remote,
web search,Google Search Server,Leverage Google Custom Search to enhance your applications with powerful search capabilities. Easily integrate and retrieve search results from Google directly within your environment. Start building smarter applications that can access the vast information available on the web.,https://smithery.ai/server/@gradusnikov/google-search-mcp-server,Remote,1.10k
web search,WebSearch,"Enable your AI assistants to perform real-time web searches and retrieve the latest information on any topic. Integrate seamlessly with the WebSearch Crawler API for efficient and accurate search results. Enhance your applications with up-to-date knowledge and insights from the web. This is self-hosted service, free
You will need to selfhost web api on local or vps. follow [guide here](https://github.com/mnhlt/WebSearch-MCP/blob/main/README.md)",https://smithery.ai/server/@mnhlt/WebSearch-MCP,Local,
web search,Linkup Search,Provides web search capability using the LinkupClient to fetch real-time information.,https://smithery.ai/server/mcp-search-linkup,Remote,
web search,Resources,Building the operating system for AI,https://smithery.ai/,,
web search,Fetch Browser,Fetch web content and perform Google searches seamlessly.,https://smithery.ai/server/@TheSethRose/fetch-browser,Remote,
web search,ScrapeGraph MCP Server,"ScrapeGraphAI is a LLM-powered scraping API for structured data extraction from any website. SmartScraper allows you to extract structured data from a specific webpage, SearchScraper finds the information you're looking for on the web and returns a structured response, and Markdownify converts webpages into markdown. 

Web search integration and content filtering

 - API KEY --> dashboard.scrapegraphai.com",https://smithery.ai/server/@ScrapeGraphAI/scrapegraph-mcp,Remote,
web search,Prospect Research Server,"Provide tools and prompts to assist with prospect research tasks. Leverage built-in capabilities to calculate metrics, fetch information, and review code efficiently. Enhance your research workflow with a simple and effective MCP server implementation.",https://smithery.ai/server/@jzhang17/prospect-research-mcp,Remote,
web search,Perplexity MCP Zerver,"Leverage AI-powered research capabilities seamlessly without the need for an API key. Perform web searches, retrieve documentation, and analyze code with a modular tool architecture. Enhance your research workflow with integrated chat and API discovery features.",https://smithery.ai/server/@wysh3/perplexity-mcp-zerver,Remote,
web search,Exa MCP Server,"Enable AI assistants to perform web searches using Exa's powerful search API. Get real-time web information in a safe and controlled way, while caching recent searches for future reference. Simplify your search experience with customizable parameters and automatic live crawling.",https://smithery.ai/server/@geezerrrr/exa-mcp-server,Remote,
web search,barnsworthburning,"Use this MCP server to search barnsworthburning.net, a digital commonplace book built and curated by Nick Trombley. The site contains a wealth of bookmarks and short snippets on a broad range of topics: design, software, art, architecture, craft, writing, literature, and many more.",https://smithery.ai/server/@Aias/barnsworthburning-mcp,Remote,
web search,Serper Search and Scrape,Habilite recursos poderosos de pesquisa na web e extração de conteúdo. Realize pesquisas ricas na web e raspe o conteúdo da página da web perfeitamente com a integração da API Serper.,https://smithery.ai/server/@diegofornalha/mcp-server-serper,Remote,
web search,OpenAI Agents MCP Server,🚀 Supercharge Claude with OpenAI Agents: Instantly extend your AI assistant with OpenAI Agents. This MCP server seamlessly connects Claude to powerful Agent Tools capabilities: Web search • File analysis • Computer control • Intelligent orchestration...,https://smithery.ai/server/@lroolle/openai-agents-mcp-server,Remote,
web search,Exa MCP Server,"Enable AI assistants to perform web searches using Exa's powerful search API. Get real-time web information in a safe and controlled way, while caching recent searches for future reference. Enhance your AI's capabilities with structured search results and customizable parameters.",https://smithery.ai/server/@lixiaotiancai/exa-mcp-server,Remote,
web search,Traylinx Search Engine,"Leverage intelligent search capabilities to extract text, HTML, and media from the web. Enhance your applications with structured search results and rich content types. Easily integrate with your existing MCP clients for seamless functionality.",https://smithery.ai/server/@traylinx/traylinx-search-engine-mcp-server,Remote,
web search,OneSearch,"Enable seamless web search, scraping, and content extraction from various sources. Leverage multiple search engines and scrapers to enhance your data retrieval capabilities. Integrate effortlessly with self-hosted solutions for customized search experiences.",https://smithery.ai/server/@yokingma/one-search,Remote,
web search,MCP Server for Continue,"Expose customizable prompt templates, resources, and tools to enhance your development workflow. Utilize a conversational LLM to refine ideas, generate tests, and create detailed project blueprints. Streamline your coding process with integrated web search and documentation resources.",https://smithery.ai/server/@alexsmirnov/mcp-server-continue,Remote,
web search,Olostep MCP Server,"Enable your AI assistants to scrape web content and extract valuable information effortlessly. Utilize powerful tools to retrieve webpage content, map websites, and access structured Google search results. Enhance your AI's capabilities with seamless web interaction.",https://smithery.ai/server/@olostep/olostep-mcp-server,Remote,
web search,Cloudflare Browser Rendering,"Fetch and process web content seamlessly for your LLMs. Enhance your applications with structured content extraction, documentation search, and content summarization capabilities. Capture screenshots of web pages to enrich your context and insights.",https://smithery.ai/server/@amotivv/cloudflare-browser-rendering-mcp,Remote,
web search,pure.md MCP server,"Access web content in markdown format reliably and efficiently. Unblock web pages and search the web seamlessly, enhancing your agents' capabilities. Integrate with your scripts and applications to leverage markdown delivery like a CDN.",https://smithery.ai/server/@puremd/puremd-mcp,Remote,
web search,Dappier MCP Server,"Connect your AI to real-time, rights-cleared data from trusted sources. Access specialized models for web search, news, sports, and financial data to enhance your AI's expertise. Leverage AI-powered recommendations for personalized content discovery across various domains.",https://smithery.ai/server/@DappierAI/dappier-mcp,Local,
web search,OneSearch,"Enable seamless web search, scraping, and content extraction from various websites. Leverage multiple search engines and scrapers to enhance your data retrieval capabilities. Integrate effortlessly with self-hosted solutions for customized search experiences.",https://smithery.ai/server/@yokingma/one-search-mcp,Local,
web search,DuckDuckGo Search,Enables web search using DuckDuckGo.,https://smithery.ai/server/duck-duck-mcp,Local,
web search,Web Search,"Enable seamless web searching using Google search results without the need for API keys. Retrieve structured results including titles, URLs, and descriptions to enhance your applications. Perfect for integrating web search capabilities into your projects effortlessly.",https://smithery.ai/server/@williamvd4/web-search,Local,
web search,Web Research,"Augments your LLM so it can perform research better. Provides Google search integration, webpage content extraction, research session tracking and more.",https://smithery.ai/server/@mzxrai/mcp-webresearch,Local,
web search,Resources,Building the operating system for AI,https://smithery.ai/,,
web search,Tavily Web Search,Leverage the Tavily API to perform web searches directly from your applications. Enhance your projects with real-time search capabilities and access a wealth of information effortlessly. Start searching the web with just a simple command and get results in seconds.,https://smithery.ai/server/@mcp2everything/mcp2tavily,Local,
web search,Perplexity MCP,"An MCP server providing web search functionality using Perplexity AI's API. You can select the model you want to use as well a search recency, day, month, year, etc.",https://smithery.ai/server/perplexity-mcp,Local,
web search,Perplexity Web Search Server,"Enable your AI assistants to search the web and retrieve up-to-date information effortlessly. Utilize powerful search capabilities with comprehensive results, including sources and citations, all while filtering by time periods. Simplify your web search tasks with a ready-to-use prompt template for seamless integration.",https://smithery.ai/server/@nachoal/perplexity-mcp,Local,
web search,Web Search,"Integrate real-time web search capabilities into your AI assistant. Perform both basic and advanced searches with markdown-formatted results, enhancing your assistant's ability to provide up-to-date information. Empower your AI with a seamless connection to the internet for comprehensive responses.",https://smithery.ai/server/@mshojaei77/ReActMCP,Local,
web search,Local Web Search Server,Perform local web searches and extract content from web pages.,https://smithery.ai/server/@FradSer/mcp-server-local-web-search,Local,
web search,Perplexity Server,"Integrate AI-powered research capabilities seamlessly. Perform web searches, retrieve documentation, and analyze code with ease.",https://smithery.ai/server/@wysh3/perplexity-mcp-server,Remote,
web search,SearXNG MCP Server,"Enable your AI assistants to perform web searches effortlessly with a privacy-respecting metasearch engine. Connect to public or private SearXNG instances and customize your search parameters for tailored results. Experience zero-configuration setup for immediate use, enhancing your AI's capabilities with powerful web search functionality.",https://smithery.ai/server/@tisDDM/searxng-mcp,Local,
web search,DuckDuckGo Web Search,"Search the web using DuckDuckGo and fetch content from the results. Get titles, URLs, and snippets, and convert HTML to markdown for easy reading.",https://smithery.ai/server/@kouui/web-search-duckduckgo,Local,
web search,WebSearch,Perform intelligent web searches and extract specific information from web pages using natural language prompts. Leverage advanced web scraping and crawling capabilities to gather and analyze content seamlessly.,https://smithery.ai/server/@m4s1t4/webSearch-Tools,Local,
web search,WebSearch,Perform intelligent web searches and extract specific information from web pages using natural language prompts. Leverage advanced web scraping and crawling capabilities to enhance your content analysis and retrieval tasks.,https://smithery.ai/server/@josemartinrodriguezmortaloni/webSearch-Tools,Local,
web search,WebSearch,Enable your AI assistants to perform real-time web searches and retrieve up-to-date information on any topic. Integrate seamlessly with the WebSearch Crawler API for enhanced search capabilities. Empower your applications with instant access to the latest web content.,https://smithery.ai/server/@mnhlt/websearch-mcp,Local,
web search,Web Search Server,Provide Google search capabilities and view web content with advanced bot detection avoidance.,https://smithery.ai/server/@Claw256/mcp-web-search,Local,
web search,Baidu Search Server,"Enable web search capabilities through Baidu, allowing you to retrieve and parse webpage content efficiently. Benefit from advanced rate limiting and intelligent text extraction tailored for large language models. Enhance your applications with formatted search results and robust error handling.",https://smithery.ai/server/@Evilran/baidu-mcp-server,Local,
web search,Tavily Search,Perform web searches and retrieve information using the Tavily API.,https://smithery.ai/server/tavily-search,Remote,
web search,DuckDuckGo Search Plugin,"Perform web searches and explore content with advanced navigation features. Enhance your search experience by retrieving detailed results, related queries, and rich content extraction from webpages.",https://smithery.ai/server/@gianlucamazza/mcp-duckduckgo,Local,
web search,DuckDuckGo Search,Perform web searches using DuckDuckGo's API with ease. Get formatted Markdown search results while enjoying built-in rate limiting and error handling. Enhance your applications with powerful search capabilities seamlessly integrated into your workflow.,https://smithery.ai/server/@zhsama/duckduckgo-mcp-server,Local,
web search,Google Custom Search Server,"Enable your language models to perform web searches effortlessly using Google's Custom Search API. Integrate search capabilities into your applications with a standardized interface, providing formatted results including titles, URLs, and descriptions. Enhance your LLM's functionality and access real-time information from the web seamlessly.",https://smithery.ai/server/@limklister/mcp-google-custom-search-server,Local,
web search,Tavily Search,Integrate the Tavily Search API for optimized web search capabilities.,https://smithery.ai/server/@apappascs/tavily-search-mcp-server,Local,
web search,OpenAI WebSearch Server,"Enable your AI assistants to access real-time web search capabilities during conversations. This server enhances the assistant's knowledge with up-to-date information, ensuring users receive accurate and relevant responses. Easily install and configure it for use with popular applications like Claude.app or Zed editor.",https://smithery.ai/server/@ConechoAI/openai-websearch-mcp,Local,
web search,Google Custom Search Server,Provide web search capabilities using Google Custom Search API.,https://smithery.ai/server/@adenot/mcp-google-search,Local,
web search,Resources,Building the operating system for AI,https://smithery.ai/,,
