name,description,설명,url,type,usage_count,sheet_name,search_query,similarity_score,usage_count_numeric,similarity_normalized,usage_normalized,composite_score
Jina AI,"Provides access to Jina AI's web services through Claude, including web page reading, web search, and fact checking.","Claude를 통해 웹 페이지 읽기, 웹 검색, 사실 확인 등 Jina AI의 웹 서비스에 대한 액세스를 제공합니다.",https://smithery.ai/server/jina-ai-mcp-server,Remote,4.04k,featured_category,,0.1845914232834718,4040.0,1.0,1.0,1.0
Jina AI,"Provides access to Jina AI's web services through Claude, including web page reading, web search, and fact checking.","Claude를 통해 웹 페이지 읽기, 웹 검색, 사실 확인 등 Jina AI의 웹 서비스에 대한 액세스를 제공합니다.",https://smithery.ai/server/jina-ai-mcp-server,Remote,4.04k,web_search,web search,0.1845914232834718,4040.0,1.0,1.0,1.0
CoinGecko Server,"Access cryptocurrency data including prices, market cap, and historical data from the CoinGecko API.","CoinGecko API를 통해 가격, 시가총액, 과거 데이터 등의 암호화폐 데이터에 접근하세요.",https://smithery.ai/server/@crazyrabbitLTC/coingecko,Local,,financial_data_analysis,"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",0.1632332620776571,0.0,0.7783162494071385,0.0,0.5448213745849969
Persistent Knowledge Graph,Enable Claude/Cursor or other AI Tools with MCP Support to remember user information across chats using a local knowledge graph.,로컬 지식 그래프를 사용하여 채팅 전반에서 사용자 정보를 기억할 수 있도록 MCP 지원 기능이 있는 Claude/Cursor 또는 기타 AI 도구를 활성화합니다.,https://smithery.ai/server/@itseasy21/mcp-knowledge-graph,Local,3.58k,featured_category,,0.10398643725006057,3580.0,0.16337293982465725,0.8861386138613861,0.38020264203567594
Radarr and Sonarr Integration,"Access and manage your movie and TV show collection effortlessly. Query your Radarr and Sonarr data through a seamless AI interface, enabling rich filtering and easy retrieval of your media information.",영화 및 TV 쇼 컬렉션에 손쉽게 액세스하고 관리하세요. 매끄러운 AI 인터페이스를 통해 Radarr 및 Sonarr 데이터를 쿼리하여 풍부한 필터링과 미디어 정보의 쉬운 검색을 가능하게 합니다.,https://smithery.ai/server/@BerryKuipers/mcp_services_radarr_sonarr,Local,,application_integration_tools,"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",0.1279077551804619,0.0,0.41166058157594776,0.0,0.28816240710316343
Entity Identification,Compare two sets of data to determine if they originate from the same entity. Leverage advanced text normalization and semantic analysis to ensure accurate comparisons. Simplify your data validation process with this comprehensive tool.,두 데이터 세트를 비교하여 동일한 엔터티에서 유래했는지 확인합니다. 고급 텍스트 정규화 및 의미 분석을 활용하여 정확한 비교를 보장합니다. 이 포괄적인 도구로 데이터 검증 프로세스를 간소화합니다.,https://smithery.ai/server/@u3588064/entityrecognition,Remote,,featured_category,,0.10998850676135961,0.0,0.22567049754800622,0.0,0.15796934828360434
Local Utilities,"Access various local system utilities quickly and efficiently. Retrieve system information like time, hostname, public IP, and more with ease. Enhance your MCP-compatible applications with essential local functionalities.","다양한 로컬 시스템 유틸리티에 빠르고 효율적으로 액세스하세요. 시간, 호스트 이름, 공개 IP 등의 시스템 정보를 쉽게 검색하세요. 필수적인 로컬 기능으로 MCP 호환 애플리케이션을 강화하세요.",https://smithery.ai/server/@arjshiv/localutils-mcp-server,Local,,featured_category,,0.10812148140975054,0.0,0.20629199495088313,0.0,0.14440439646561817
Google Custom Search Server,Provide web search capabilities using Google Custom Search API.,Google 맞춤 검색 API를 사용하여 웹 검색 기능을 제공합니다.,https://smithery.ai/server/@adenot/mcp-google-search,Local,,web_search,web search,0.10323018759418534,0.0,0.15552356278871,0.0,0.108866493952097
NASA MCP Server,"Access NASA's vast array of data sources through a standardized interface for AI models. Retrieve and interact with over 20 NASA APIs seamlessly, ensuring optimized data formats for AI consumption. Experience automatic parameter validation and comprehensive documentation to enhance your development process.",AI 모델을 위한 표준화된 인터페이스를 통해 NASA의 방대한 데이터 소스에 액세스하세요. 20개 이상의 NASA API를 원활하게 검색하고 상호 작용하여 AI 소비에 최적화된 데이터 형식을 보장합니다. 자동 매개변수 검증 및 포괄적인 문서화를 경험하여 개발 프로세스를 개선하세요.,https://smithery.ai/server/@ProgramComputer/nasa-mcp-server,Remote,,featured_category,,0.09928048467720334,0.0,0.11452822859646877,0.0,0.08016976001752814
Serp API Server,Access real-time search engine results and data through a simple API. Enhance your applications with powerful search capabilities and insights from various search engines. Integrate effortlessly to retrieve and analyze search data for your projects.,간단한 API를 통해 실시간 검색 엔진 결과와 데이터에 액세스하세요. 다양한 검색 엔진의 강력한 검색 기능과 통찰력으로 애플리케이션을 강화하세요. 손쉽게 통합하여 프로젝트에 대한 검색 데이터를 검색하고 분석하세요.,https://smithery.ai/server/@neoparad/serp-api-server,Remote,,featured_category,,0.08824624169620901,0.0,0.0,0.0,0.0
