url,name,description
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,Sequential Thinking,An MCP server implementation that provides a tool for dynamic and reflective problem-solving through a structured thinking process.
,,
,Desktop Commander,"Execute terminal commands and manage files with diff editing capabilities. Coding, shell and terminal, task automation"
,,
,Github,"Access the GitHub API, enabling file operations, repository management, search functionality, and more."
,,
,Think Tool Server,"Enhance your AI's reasoning capabilities with structured thinking. This server provides a dedicated space for complex problem-solving, leading to more accurate and reliable responses. Experience significant performance improvements in tasks requiring detailed analysis and adherence to policies."
,,
,Brave Search,Integrate web search and local search capabilities with Brave.
,,
,Magic MCP,v0 for MCP. Frontend feels like Magic
,,
,Browserbase,"Provides cloud browser automation capabilities using Browserbase, enabling LLMs to interact with web pages, take screenshots, and execute JavaScript in a cloud browser environment."
,,
,Claude Code MCP Server,"Leverage powerful software engineering capabilities through a standardized interface. Execute shell commands, analyze code, and manage files seamlessly. Enhance your development workflow with integrated tools and resources."
,,
,VeyraX MCP,"Single MCP tool to connect 70+ tools: Gmail, Calendar and 40 more."
,,
,Neon Database,"Control Neon serverless Postgres databases using natural language. Create and manage databases, run SQL queries, handle migrations, and manage projects."
,,
,Exa Search,"Fast, intelligent web search and crawling.

Exa combines embeddings and traditional search to deliver the best results for LLMs."
,,
,Perplexity Search,Enable AI assistants to perform web searches using Perplexity's Sonar Pro.
,,
,Fetch,A simple tool that performs a fetch request to a webpage.
,,
,E2B,Add code execution and interpreting capabilities to your agents.
,,
,Supabase MCP Server,Let Cursor & Windsurf manage your Supabase and run SQL queries. Autonomously. In a safe way.
,,
,Figma API Integration,"Access Figma's powerful API to manage files, comments, and components seamlessly. Enhance your AI assistant's capabilities by integrating Figma functionalities directly into your workflows. Simplify your design collaboration and project management with easy API access."
,,
,Todoist MCP Server,MCP server for Todoist API integration
,,
,Gemini Thinking Server,"Leverage advanced analytical thinking capabilities to break down complex problems and generate thoughtful responses. Enhance your problem-solving process with insights, confidence levels, and alternative approaches, all while maintaining session persistence for ongoing analysis."
,,
,Notion API,Integrate and manage Notion databases and tasks using Notion's API.
,,
,Stagehand,"Provides cloud browser automation capabilities using Stagehand, enabling LLMs to interact with web pages, take screenshots, and execute JavaScript in a cloud browser environment."
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,Linear MCP Server,"A Model Context Protocol server for the Linear API, enabling LLM interaction with Linear issues."
,,
,FFmpeg Video Processor,Manipulate video files effortlessly with this server. Resize videos to various resolutions and extract audio in multiple formats through simple API calls. Enhance your video processing capabilities with natural language requests using Claude Desktop integration.
,,
,Hyperbrowser,"Scrape, extract structured data, and crawl webpages effortlessly. Enhance your applications with powerful web scraping capabilities and structured data extraction tools."
,,
,Aindreyway Codex Keeper,An intelligent server that provides AI assistants with curated access to the latest development documentation and best practices.
,,
,DuckDuckGo Search Server,Enable web search capabilities through DuckDuckGo. Fetch and parse webpage content intelligently for enhanced LLM interaction.
,,
,Playwright,Control browsers and automate web interactions seamlessly.
,,
,Linear MCP Server,"Interact with Linear's API to manage issues, projects, and teams programmatically."
,,
,Code MCP,"Enable AI agents to seamlessly interact with VS Code, enhancing their capabilities to modify files, open projects, and check extension statuses. Streamline your development workflow by integrating AI assistance directly into your coding environment. Experience a more efficient coding process with intelligent tools at your fingertips."
,,
,ClickUp MCP Server,"Integrate ClickUp tasks with AI applications to streamline your project management. Interact with tasks, lists, and folders using natural language for efficient task handling. Enhance your productivity by automating workflows and managing tasks seamlessly within your ClickUp workspace."
,,
,Crypto Price & Market Analysis Server,Provide real-time cryptocurrency price data and market analysis.
,,
,Fetch MCP Server,"Fetch web content in various formats such as HTML, JSON, plain text, and Markdown."
,,
,Sequential Thinking,Enhances problem-solving by breaking down problems into sequential steps.
,,
,Google Workspace Server,Manage your emails and calendar events programmatically through a unified interface. Interact with Gmail and Calendar APIs to automate tasks like sending emails and scheduling events effortlessly.
,,
,Google Workspace MCP Server,Interact with Gmail and Calendar APIs via MCP interface.
,,
,Mermaid Diagram Generator,Convert textual Mermaid diagram descriptions into high-quality PNG images. Enhance your AI applications with visual representations of data and processes effortlessly. Customize themes and backgrounds to fit your design needs.
,,
,Airbnb Search and Listing Server,"Search for Airbnb listings and get detailed information about specific properties. Effortlessly plan your next trip with structured data and no API key required, while respecting Airbnb's guidelines."
,,
,Multi-Model Advisor,Query multiple AI models simultaneously to gain diverse perspectives on your questions. Synthesize insights from various AI personas to enhance your decision-making process. Integrate seamlessly with Claude for a comprehensive advisory experience.
,,
,Hacker News,Fetch and parse stories from Hacker News.
,,
,MySQL Server,"A Model Context Protocol (MCP) server that enables secure interaction with MySQL databases, allowing AI assistants to list tables, read data, and execute SQL queries through a controlled interface."
,,
,Instagram Engagement Analysis,"Analyze Instagram engagement metrics, extract demographic insights, and identify potential leads from posts and accounts. Gain actionable insights to enhance your social media strategy and marketing efforts."
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,Markdown Downloader,"Download webpages as markdown files effortlessly. Convert web content into markdown format with a simple command, and manage your downloads with ease. Enjoy a configurable download directory and automatic date-stamped filenames for organized storage."
,,
,Starwind UI MCP Server,"Enhance your development experience with Starwind UI by utilizing a dedicated server that provides tools for project initialization, component management, and documentation access. Streamline your workflow with features like package manager detection and LLM data fetching, all designed to integrate seamlessly with your AI assistants."
,,
,Wolfram Alpha,Connect to Wolfram Alpha API for computational knowledge.
,,
,DeepView,Analyze large codebases efficiently using Gemini's extensive context window. Connect seamlessly with IDEs like Cursor and Windsurf to enhance your coding experience. Load your entire codebase from a single file and query it effortlessly.
,,
,Tavily MCP Server,Enable real-time web search and data extraction capabilities.
,,
,Lunchmoney MCP Server,Interact with your Lunchmoney transactions and budgets through AI assistants.
,,
,Zonos TTS Integration,Enable text-to-speech capabilities through Claude. Generate speech with support for multiple emotions and languages.
,,
