name,description,설명,url,type,usage_count,sheet_name,search_query,similarity_score,usage_count_numeric,similarity_normalized,usage_normalized,composite_score
Stability AI,"Image generation, editing, and upscaling using Stability AI's API.","Stability AI의 API를 사용하여 이미지 생성, 편집 및 업스케일링.",https://smithery.ai/server/mcp-server-stability-ai,Local,,application_integration_tools,"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",0.22084049868321654,0.0,1.0,0.0,0.7
Stability AI,"Image generation, editing, and upscaling using Stability AI's API.","Stability AI의 API를 사용하여 이미지 생성, 편집 및 업스케일링.",https://smithery.ai/server/mcp-server-stability-ai,Local,,ai_integration_solutions,integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,0.22084049868321654,0.0,1.0,0.0,0.7
Mavae Image Toolbox,MAVAE IMAGE TOOLBOX is a Model Context Protocol (MCP) server for interacting with image media tools. 🚀 Image Generation | 🚀 Image Editing | 🚀 Collection Management | 🚀 Model & Lora Management,MAVAE IMAGE TOOLBOX는 이미지 미디어 도구와 상호 작용하기 위한 Model Context Protocol(MCP) 서버입니다. 🚀 이미지 생성 | 🚀 이미지 편집 | 🚀 컬렉션 관리 | 🚀 모델 및 Lora 관리,https://smithery.ai/server/@xenoailimited/mavae-image-toolbox,Remote,,featured_category,,0.20514350529910136,0.0,0.8413807030996074,0.0,0.5889664921697252
FFmpeg Video Processor,Manipulate video files effortlessly with this server. Resize videos to various resolutions and extract audio in multiple formats through simple API calls. Enhance your video processing capabilities with natural language requests using Claude Desktop integration.,이 서버로 비디오 파일을 손쉽게 조작하세요. 간단한 API 호출을 통해 비디오를 다양한 해상도로 조정하고 여러 형식으로 오디오를 추출하세요. Claude Desktop 통합을 사용하여 자연어 요청으로 비디오 처리 기능을 강화하세요.,https://smithery.ai/server/@bitscorp-mcp/mcp-ffmpeg,Local,15.13k,featured_category,,0.15152339546423646,15130.0,0.2995454666564899,1.0,0.5096818266595429
Textube,Fetch and analyze YouTube video transcripts effortlessly. Gain insights and summaries from video content using specialized prompts. Enhance your understanding of video topics with quick and deep analysis tools.,YouTube 비디오 대본을 손쉽게 가져오고 분석하세요. 전문화된 프롬프트를 사용하여 비디오 콘텐츠에서 통찰력과 요약을 얻으세요. 빠르고 심층적인 분석 도구로 비디오 주제에 대한 이해를 높이세요.,https://smithery.ai/server/@tmsdnl/mcp-textube,Remote,,featured_category,,0.17867821794530817,0.0,0.5739469869986842,0.0,0.4017628908990789
CoinGecko Server,"Access cryptocurrency data including prices, market cap, and historical data from the CoinGecko API.","CoinGecko API를 통해 가격, 시가총액, 과거 데이터 등의 암호화폐 데이터에 접근하세요.",https://smithery.ai/server/@crazyrabbitLTC/coingecko,Local,,financial_data_analysis,"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",0.15498388690072978,0.0,0.33451399248525593,0.0,0.23415979473967913
YouTube MCP,"Extract transcripts, summarize content, and query videos effortlessly. Leverage Gemini AI to enhance your YouTube video analysis capabilities. Gain insights and streamline your video content interactions with powerful tools.","대본을 추출하고, 콘텐츠를 요약하고, 비디오를 손쉽게 쿼리하세요. Gemini AI를 활용하여 YouTube 비디오 분석 기능을 강화하세요. 강력한 도구로 통찰력을 얻고 비디오 콘텐츠 상호 작용을 간소화하세요.",https://smithery.ai/server/@Prajwal-ak-0/youtube-mcp,Remote,,featured_category,,0.1442757834956816,0.0,0.2263078034602749,0.0,0.15841546242219243
YouTube Transcript Server,"Enables retrieval of transcripts from YouTube videos. Provides direct access to video captions and subtitles through a simple interface, with support for multiple languages and video URL formats.","YouTube 비디오에서 대본을 검색할 수 있습니다. 간단한 인터페이스를 통해 비디오 캡션과 자막에 직접 액세스할 수 있으며, 여러 언어와 비디오 URL 형식을 지원합니다.",https://smithery.ai/server/@kimtaeyoon83/mcp-server-youtube-transcript,Local,1.54k,featured_category,,0.12953132829587868,1540.0,0.07731397644249603,0.10178453403833443,0.08465514372124755
Luma MCP Server,A Model Context Protocol server for Luma AI video generation,Luma AI 비디오 생성을 위한 모델 컨텍스트 프로토콜 서버,https://smithery.ai/server/@sunwood-ai-labs/luma-mcp-server,Remote,,featured_category,,0.12188032365500202,0.0,0.0,0.0,0.0
Luma MCP Server,A Model Context Protocol server for Luma AI video generation,Luma AI 비디오 생성을 위한 모델 컨텍스트 프로토콜 서버,https://smithery.ai/server/@sunwood-ai-labs/luma-mcp-server,Remote,,ai_integration_solutions,integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,0.12188032365500202,0.0,0.0,0.0,0.0
