search_query,name,description,url,type,usage_count
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Resources,Building the operating system for AI,https://smithery.ai/,,
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Claude Code MCP Server,"Leverage powerful software engineering capabilities through a standardized interface. Execute shell commands, analyze code, and manage files seamlessly. Enhance your development workflow with integrated tools and resources.",https://smithery.ai/server/@auchenberg/claude-code-mcp,Local,94.61k
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Playwright,Control browsers and automate web interactions seamlessly.,https://smithery.ai/server/@showfive/playwright-mcp-server,Remote,13.18k
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Linear MCP Server,"Interact with Linear's API to manage issues, projects, and teams programmatically.",https://smithery.ai/server/@tiovikram/linear-mcp,Remote,11.92k
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Code MCP,"Enable AI agents to seamlessly interact with VS Code, enhancing their capabilities to modify files, open projects, and check extension statuses. Streamline your development workflow by integrating AI assistance directly into your coding environment. Experience a more efficient coding process with intelligent tools at your fingertips.",https://smithery.ai/server/@block/code-mcp,Local,10.55k
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",MCP Server Starter,Build a robust server to enable AI agents to interact with various tools.,https://smithery.ai/server/@TheSethRose/mcp-server-starter,Remote,3.79k
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Wolfram Alpha,Connect to Wolfram Alpha API for computational knowledge.,https://smithery.ai/server/mcp-wolfram-alpha,Remote,6.92k
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Google Workspace Server,Manage your emails and calendar events programmatically through a unified interface. Interact with Gmail and Calendar APIs to automate tasks like sending emails and scheduling events effortlessly.,https://smithery.ai/server/@rishipradeep-think41/gsuite-mcp,Remote,8.25k
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Starwind UI MCP Server,"Enhance your development experience with Starwind UI by utilizing a dedicated server that provides tools for project initialization, component management, and documentation access. Streamline your workflow with features like package manager detection and LLM data fetching, all designed to integrate seamlessly with your AI assistants.",https://smithery.ai/server/@Boston343/starwind-ui-mcp,Remote,7.07k
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Claude Code MCP Server,"Leverage the power of Claude Code to enhance your coding experience. Execute commands, review, fix, and test your code seamlessly with this server. Simplify your development workflow by integrating advanced code capabilities directly into your applications.",https://smithery.ai/server/@KunihiroS/claude-code-mcp-server,Local,5.77k
"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",Web Research Server,"Integrate real-time web research capabilities into your workflow. Conduct thorough research with tools for searching, content extraction, and session tracking.",https://smithery.ai/server/@chuanmingliu/mcp-webresearch,Remote,3.13k
