search_query,name,description,url,type,usage_count
memory systems and memory extensions for agents,Resources,Building the operating system for AI,https://smithery.ai/,,
memory systems and memory extensions for agents,Knowledge Graph Memory Server,"Enable your agents to remember user information across chats by utilizing a local knowledge graph. Enhance interactions by creating, updating, and retrieving personalized memories seamlessly. Experience a more engaging and tailored conversation with your AI assistant.",https://smithery.ai/server/@jlia0/servers,Local,5.11k
memory systems and memory extensions for agents,DuckDB Knowledge Graph Memory Server,"Enhance your conversational agents with a robust memory system that efficiently retrieves and updates user information. Leverage the power of DuckDB for fast, scalable, and flexible querying of knowledge graphs. Transform interactions by maintaining a rich context of user preferences and relationships.",https://smithery.ai/server/@IzumiSy/mcp-duckdb-memory-server,Local,
memory systems and memory extensions for agents,Memory Box MCP Server,"Save, search, and format memories with semantic understanding. Enhance your memory management by leveraging advanced semantic search capabilities directly from Cline. Organize and retrieve your memories efficiently with structured formatting and detailed context.",https://smithery.ai/server/@amotivv/memory-box-mcp,Remote,
memory systems and memory extensions for agents,Memory Bank,"Manage your AI assistant's context seamlessly across sessions. Store, retrieve, and track information with remote server support for enhanced collaboration and persistence.",https://smithery.ai/server/@aakarsh-sasi/memory-bank-mcp,Remote,
memory systems and memory extensions for agents,My Apple Remembers,"Recall and save memories from your Apple Notes effortlessly. Access notes, calendar events, and files on your Mac, and persist important information for future reference with minimal setup. Enjoy universal compatibility across all macOS versions.",https://smithery.ai/server/@baryhuang/my-apple-remembers,Remote,
memory systems and memory extensions for agents,Knowledge Graph Memory Server,"Manage and enhance your interactions with a robust knowledge graph. Capture, store, and retrieve contextual information seamlessly using PouchDB for improved data consistency and performance. Organize your memory data by project-specific paths for better management and retrieval.",https://smithery.ai/server/@bneil/mcp-memory-pouchdb,Remote,
memory systems and memory extensions for agents,Memory Bank Server,Manage project memory banks remotely and efficiently.,https://smithery.ai/server/@alioshr/memory-bank-mcp,Remote,9.09k
memory systems and memory extensions for agents,Knowledge Graph Memory Server,MCP server enabling persistent memory for Claude through a local knowledge graph.,https://smithery.ai/server/mcp-knowledge-graph,Local,
memory systems and memory extensions for agents,LibSQL Memory,High-performance vector search and persistent memory using libSQL.,https://smithery.ai/server/mcp-memory-libsql,Local,
memory systems and memory extensions for agents,MemoryMesh,"A knowledge graph server that can store, update, and recall structured information. Features dynamic schema-based tools and relationship management for entities like characters, locations, and items.",https://smithery.ai/server/memorymesh,Local,
memory systems and memory extensions for agents,Simple Memory Extension Server,"Store and recall important information effortlessly. Manage your agent's memory with ease, allowing it to remember key moments and progress. Enhance your coding experience with semantic search capabilities to find context items based on meaning.",https://smithery.ai/server/@gmacev/Simple-Memory-Extension-MCP-Server,Local,
memory systems and memory extensions for agents,Optimized Memory Server,"Enhance your AI interactions by enabling persistent memory capabilities. This server allows Claude to remember user information across chats, improving personalization and context awareness. Utilize a local knowledge graph to manage entities, relations, and observations seamlessly.",https://smithery.ai/server/@AgentWong/optimized-memory-mcp-server,Local,
memory systems and memory extensions for agents,Memory Management Server,"Manage and enhance your chat experience by allowing Claude to remember and recall important information during conversations. Effortlessly add, search, delete, and list memories to create a more personalized interaction. Improve context retention and response relevance with a simple memory text file system.",https://smithery.ai/server/@g0t4/mcp-server-memory-file,Local,
memory systems and memory extensions for agents,Memory for AI Conversations,"Give your AI a memory that persists across conversations. Ensure your LLMs remember important information forever, creating more coherent, personalized, and effective AI interactions.",https://smithery.ai/server/@j3k0/mcp-brain-tools,Local,
memory systems and memory extensions for agents,Zanny's Persistent Memory Manager,"Store, retrieve, and manage your memories effortlessly. Utilize smart keyword detection to interact with your memories using natural language commands. Enjoy unlimited storage and comprehensive logging for all your memory management needs.",https://smithery.ai/server/@zannyonear1h1/mcp-memory-bank-2,Local,
memory systems and memory extensions for agents,Memory Server,"Manage and maintain structured memories across chat sessions with Claude. Enhance your project workflows by saving and retrieving important information seamlessly, ensuring continuity and context in long-term projects. Ideal for software development, research, and collaborative work.",https://smithery.ai/server/@ebailey78/mcp-memory,Local,
memory systems and memory extensions for agents,Memory Bank,"Manage and interact with structured repositories of information for AI assistants. Store, retrieve, and track context across sessions to enhance your AI's capabilities. Utilize various operational modes to optimize interactions for specific tasks like coding, debugging, and system design.",https://smithery.ai/server/@movibe/memory-bank-mcp,Local,
memory systems and memory extensions for agents,myAI Memory Sync,"Synchronize your memories effortlessly across all Claude interfaces. Automatically update your memory template without manual input, ensuring a consistent and personalized experience. Enjoy seamless integration and management of your memories with intelligent updates and caching.",https://smithery.ai/server/@Jktfe/myaimemory-mcp,Local,
memory systems and memory extensions for agents,Memory Tool,"Store and retrieve user-specific memories to maintain context and make informed decisions based on past interactions. Utilize a simple API to add and search memories with relevance scoring, enhancing your application's ability to remember user preferences and interactions.",https://smithery.ai/server/@mem0ai/mem0-memory-mcp,Local,
memory systems and memory extensions for agents,Memory Server,"Enhance your Large Language Models with persistent memory capabilities. Store, retrieve, and manage memories seamlessly across conversations to improve context and relevance. Integrate effortlessly with the Claude desktop application for a richer user experience.",https://smithery.ai/server/@WhenMoon-afk/claude-memory-mcp,Local,
