name,description,설명,url,type,usage_count,sheet_name,search_query,relevance_score,usage_count_numeric,relevance_normalized,usage_normalized,composite_score
Pulse CN MCP Server,Access real-time trending content from the Chinese internet. Connect your AI models to the latest data from popular social media platforms and news sites. Stay updated with what's trending in China effortlessly.,중국 인터넷에서 실시간 트렌드 콘텐츠에 액세스하세요. AI 모델을 인기 있는 소셜 미디어 플랫폼과 뉴스 사이트의 최신 데이터에 연결하세요. 중국에서 트렌드가 무엇인지 손쉽게 최신 정보를 받아보세요.,https://smithery.ai/server/@wangtsiao/pulse-cn-mcp,Remote,,featured_category,,4,0.0,1.0,0.0,0.7
Instagram Engagement Analysis,"Analyze Instagram engagement metrics, extract demographic insights, and identify potential leads from posts and accounts. Gain actionable insights to enhance your social media strategy and marketing efforts.","Instagram 참여 지표를 분석하고, 인구 통계적 통찰력을 추출하고, 게시물과 계정에서 잠재적 리드를 파악합니다. 소셜 미디어 전략과 마케팅 노력을 강화하기 위한 실행 가능한 통찰력을 얻으세요.",https://smithery.ai/server/@Bob-lance/instagram-engagement-mcp,Remote,7.13k,featured_category,,3,7130.0,0.5,0.9740437158469946,0.6422131147540984
Mavae Image Toolbox,MAVAE IMAGE TOOLBOX is a Model Context Protocol (MCP) server for interacting with image media tools. 🚀 Image Generation | 🚀 Image Editing | 🚀 Collection Management | 🚀 Model & Lora Management,MAVAE IMAGE TOOLBOX는 이미지 미디어 도구와 상호 작용하기 위한 Model Context Protocol(MCP) 서버입니다. 🚀 이미지 생성 | 🚀 이미지 편집 | 🚀 컬렉션 관리 | 🚀 모델 및 Lora 관리,https://smithery.ai/server/@xenoailimited/mavae-image-toolbox,Remote,,featured_category,,3,0.0,0.5,0.0,0.35
Web Content Server,Fetch and process web content seamlessly for LLM context using Cloudflare Browser Rendering. Enhance your applications with real-time web data extraction and structured content summarization. Leverage powerful tools to enrich your LLM interactions with relevant web information.,Cloudflare Browser Rendering을 사용하여 LLM 컨텍스트에 대한 웹 콘텐츠를 원활하게 페치하고 처리합니다. 실시간 웹 데이터 추출 및 구조화된 콘텐츠 요약으로 애플리케이션을 강화합니다. 강력한 도구를 활용하여 관련 웹 정보로 LLM 상호 작용을 풍부하게 합니다.,https://smithery.ai/server/@amotivv/cloudflare-browser-rendering,Remote,,dynamic_web_development,Tools and frameworks for building dynamic web applications and integrating real-time data,3,0.0,0.5,0.0,0.35
SEO Automation and Optimization,Automate your SEO tasks and optimize your content with AI-powered insights. Leverage Google Ads Keyword Planner for effective keyword research and competitor analysis. Enhance your online presence with tailored SEO recommendations and SERP analysis.,AI 기반 인사이트로 SEO 작업을 자동화하고 콘텐츠를 최적화하세요. 효과적인 키워드 조사 및 경쟁자 분석을 위해 Google Ads 키워드 플래너를 활용하세요. 맞춤형 SEO 권장 사항 및 SERP 분석으로 온라인 존재감을 강화하세요.,https://smithery.ai/server/@ccnn2509/app-seo-ai,Remote,,browser_automation,advanced web browsing automation,3,0.0,0.5,0.0,0.35
Web Content Server,Fetch and process web content seamlessly for LLM context using Cloudflare Browser Rendering. Enhance your applications with real-time web data extraction and structured content summarization. Leverage powerful tools to enrich your LLM interactions with relevant web information.,Cloudflare Browser Rendering을 사용하여 LLM 컨텍스트에 대한 웹 콘텐츠를 원활하게 페치하고 처리합니다. 실시간 웹 데이터 추출 및 구조화된 콘텐츠 요약으로 애플리케이션을 강화합니다. 강력한 도구를 활용하여 관련 웹 정보로 LLM 상호 작용을 풍부하게 합니다.,https://smithery.ai/server/@amotivv/cloudflare-browser-rendering,Remote,,application_integration_tools,"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",3,0.0,0.5,0.0,0.35
Dappier MCP Server,"Connect your AI to real-time, rights-cleared data from trusted sources. Access specialized models for web search, news, sports, and financial data to enhance your AI's expertise. Leverage AI-powered recommendations for personalized content discovery across various domains.","신뢰할 수 있는 출처의 실시간 권리 처리된 데이터에 AI를 연결합니다. 웹 검색, 뉴스, 스포츠 및 재무 데이터에 대한 전문 모델에 액세스하여 AI의 전문성을 향상합니다. 다양한 도메인에서 개인화된 콘텐츠 검색을 위한 AI 기반 권장 사항을 활용합니다.",https://smithery.ai/server/@DappierAI/dappier-mcp,Local,,web_search,web search,3,0.0,0.5,0.0,0.35
SEO Automation and Optimization,Automate your SEO tasks and optimize your content with AI-powered insights. Leverage Google Ads Keyword Planner for effective keyword research and competitor analysis. Enhance your online presence with tailored SEO recommendations and SERP analysis.,AI 기반 인사이트로 SEO 작업을 자동화하고 콘텐츠를 최적화하세요. 효과적인 키워드 조사 및 경쟁자 분석을 위해 Google Ads 키워드 플래너를 활용하세요. 맞춤형 SEO 권장 사항 및 SERP 분석으로 온라인 존재감을 강화하세요.,https://smithery.ai/server/@ccnn2509/app-seo-ai,Remote,,featured_category,,3,0.0,0.5,0.0,0.35
Tavily MCP Server with Proxy Support,Enable AI-powered web searches through proxy servers. Get direct answers to your questions and access recent news articles with AI-extracted relevant content. Enhance your LLM's capabilities with sophisticated search functionalities.,프록시 서버를 통해 AI 기반 웹 검색을 활성화합니다. 질문에 대한 직접적인 답변을 얻고 AI에서 추출한 관련 콘텐츠로 최근 뉴스 기사에 액세스합니다. 정교한 검색 기능으로 LLM의 역량을 강화합니다.,https://smithery.ai/server/@tulong66/mcp-tavily-proxy,Local,,web_search,web search,3,0.0,0.5,0.0,0.35
JigsawStack Translation,"With our real time AI Translation, you can translate any text, conversation, or document to any language while maintaining the context, tone, and meaning with AI enabling high accuracy and reliability.
 

 We support 180+ language pairs! Check out the list of languages we support here: https://jigsawstack.com/docs/additional-resources/languages
 

 You can get your jigsawstack key here: https://jigsawstack.com/dashboard/","실시간 AI 번역을 사용하면 모든 텍스트, 대화 또는 문서를 모든 언어로 번역할 수 있으며, AI를 통해 높은 정확도와 신뢰성을 제공하는 맥락, 톤 및 의미를 유지할 수 있습니다.

180개 이상의 언어 쌍을 지원합니다! 여기에서 지원하는 언어 목록을 확인하세요: https://jigsawstack.com/docs/additional-resources/languages

여기에서 jigsawstack 키를 받을 수 있습니다: https://jigsawstack.com/dashboard/",https://smithery.ai/server/@JigsawStack/translation,Remote,,featured_category,,3,0.0,0.5,0.0,0.35
