search_query,name,description,설명,url,type,usage_count,topic
web search,Tavily MCP Server,Enable real-time web search and data extraction capabilities.,실시간 웹 검색 및 데이터 추출 기능을 활성화합니다.,https://smithery.ai/server/@tavily-ai/tavily-mcp,Remote,6.69k,1
web search,Perplexity Search,Enable AI assistants to perform web searches using Perplexity's Sonar Pro.,Perplexity의 Sonar Pro를 사용하여 AI 비서가 웹 검색을 수행하도록 하세요.,https://smithery.ai/server/@arjunkmrm/perplexity-search,Remote,51.59k,1
web search,Perplexity Deep Research,"Enable AI assistants to perform web searches using Perplexity's Deep Research. Note: depending on the client, you might run into connection timeout depending on how long it takes to get response from deep research API. I'm exploring workarounds for this.",AI 어시스턴트가 Perplexity의 Deep Research를 사용하여 웹 검색을 수행하도록 합니다. 참고: 클라이언트에 따라 deep research API에서 응답을 받는 데 걸리는 시간에 따라 연결 시간 초과가 발생할 수 있습니다. 이에 대한 해결 방법을 모색 중입니다.,https://smithery.ai/server/@arjunkmrm/perplexity-deep-research,Remote,5.74k,1
web search,Tavily,An MCP server for Tavily's search API providing AI-powered web search capabilities.,AI 기반 웹 검색 기능을 제공하는 Tavily의 검색 API를 위한 MCP 서버입니다.,https://smithery.ai/server/mcp-tavily,Remote,4.25k,1
web search,Jina AI,"Provides access to Jina AI's web services through Claude, including web page reading, web search, and fact checking.","Claude를 통해 웹 페이지 읽기, 웹 검색, 사실 확인 등 Jina AI의 웹 서비스에 대한 액세스를 제공합니다.",https://smithery.ai/server/jina-ai-mcp-server,Remote,4.04k,1
web search,Serper Search and Scrape,"A TypeScript-based MCP server that provides web search and webpage scraping capabilities using the Serper API. This server integrates with Cursor, Cline, Claude Desktop, and any MCP-compatible client to enable powerful web search and content extraction features in one convenient package.","Serper API를 사용하여 웹 검색 및 웹페이지 스크래핑 기능을 제공하는 TypeScript 기반 MCP 서버입니다. 이 서버는 Cursor, Cline, Claude Desktop 및 모든 MCP 호환 클라이언트와 통합되어 강력한 웹 검색 및 콘텐츠 추출 기능을 하나의 편리한 패키지로 제공합니다.",https://smithery.ai/server/@marcopesani/mcp-server-serper,Remote,3.38k,1
web search,Web Research Server,"Integrate real-time web research capabilities into your workflow. Conduct thorough research with tools for searching, content extraction, and session tracking.","실시간 웹 리서치 기능을 워크플로에 통합합니다. 검색, 콘텐츠 추출 및 세션 추적을 위한 도구로 철저한 리서치를 수행합니다.",https://smithery.ai/server/@chuanmingliu/mcp-webresearch,Remote,3.13k,1
web search,Exa Search,"Fast, intelligent web search and crawling.
 

 Exa combines embeddings and traditional search to deliver the best results for LLMs.","빠르고 지능적인 웹 검색 및 크롤링.

Exa는 임베딩과 기존 검색을 결합하여 LLM에게 최상의 결과를 제공합니다.",https://smithery.ai/server/exa,Remote,26.14k,2
web search,Web Research Server,"Bring real-time info into your conversations and easily research any topic. Utilize Google search integration, webpage content extraction, and session tracking to enhance your research capabilities. Capture screenshots and maintain a comprehensive record of your research sessions for better insights.","실시간 정보를 대화에 가져오고 모든 주제를 쉽게 조사하세요. Google 검색 통합, 웹페이지 콘텐츠 추출 및 세션 추적을 활용하여 조사 역량을 강화하세요. 스크린샷을 캡처하고 조사 세션에 대한 포괄적인 기록을 유지하여 더 나은 통찰력을 얻으세요.",https://smithery.ai/server/@oneshot-engineering/mcp-webresearch,Remote,2.48k,1
web search,Brave Search,Integrate web search and local search capabilities with Brave.,Brave에 웹 검색과 로컬 검색 기능을 통합하세요.,https://smithery.ai/server/@smithery-ai/brave-search,Remote,155.66k,1
web search,DuckDuckGo Search Server,Enable web search capabilities through DuckDuckGo. Fetch and parse webpage content intelligently for enhanced LLM interaction.,DuckDuckGo를 통해 웹 검색 기능을 활성화합니다. 향상된 LLM 상호 작용을 위해 웹 페이지 콘텐츠를 지능적으로 페치하고 구문 분석합니다.,https://smithery.ai/server/@nickclyde/duckduckgo-mcp-server,Remote,14.41k,0
web search,Google Search Server,Leverage Google Custom Search to enhance your applications with powerful search capabilities. Easily integrate and retrieve search results from Google directly within your environment. Start building smarter applications that can access the vast information available on the web.,Google Custom Search를 활용하여 강력한 검색 기능으로 애플리케이션을 강화하세요. 환경 내에서 Google에서 검색 결과를 쉽게 통합하고 검색하세요. 웹에서 제공되는 방대한 정보에 액세스할 수 있는 더 스마트한 애플리케이션을 구축하세요.,https://smithery.ai/server/@gradusnikov/google-search-mcp-server,Remote,1.10k,3
web search,Resources,Building the operating system for AI,AI를 위한 운영체제 구축,https://smithery.ai/,,,0
web search,Serper Search and Scrape,Enable powerful web search and content extraction capabilities. Perform web searches and scrape webpage content seamlessly to enhance your applications with real-time data.,강력한 웹 검색 및 콘텐츠 추출 기능을 활성화합니다. 웹 검색을 수행하고 웹페이지 콘텐츠를 원활하게 스크래핑하여 실시간 데이터로 애플리케이션을 강화합니다.,https://smithery.ai/server/@tahaswx/mcp-server-serper-test,Remote,,1
web search,Exa MCP,Enable AI assistants to perform web searches using Exa's powerful search API.,Exa의 강력한 검색 API를 사용하여 AI 도우미가 웹 검색을 수행하도록 하세요.,https://smithery.ai/server/@MrunmayS/exa-mcp-server,Remote,,1
