name,description,설명,url,type,usage_count,sheet_name,search_query,similarity_score,usage_count_numeric,similarity_normalized,usage_normalized,composite_score
HotNews Server,A Model Context Protocol server that provides real-time hot trending topics from major Chinese social platforms and news sites.,주요 중국 소셜 플랫폼과 뉴스 사이트의 실시간 인기 트렌드 주제를 제공하는 모델 컨텍스트 프로토콜 서버입니다.,https://smithery.ai/server/@wopal/mcp-server-hotnews,Remote,3.62k,dynamic_web_development,Tools and frameworks for building dynamic web applications and integrating real-time data,0.31820013934764724,3620.0,1.0,1.0,1.0
HotNews Server,A Model Context Protocol server that provides real-time hot trending topics from major Chinese social platforms and news sites.,주요 중국 소셜 플랫폼과 뉴스 사이트의 실시간 인기 트렌드 주제를 제공하는 모델 컨텍스트 프로토콜 서버입니다.,https://smithery.ai/server/@wopal/mcp-server-hotnews,Remote,3.62k,ai_integration_solutions,integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,0.31820013934764724,3620.0,1.0,1.0,1.0
HotNews Server,A Model Context Protocol server that provides real-time hot trending topics from major Chinese social platforms and news sites.,주요 중국 소셜 플랫폼과 뉴스 사이트의 실시간 인기 트렌드 주제를 제공하는 모델 컨텍스트 프로토콜 서버입니다.,https://smithery.ai/server/@wopal/mcp-server-hotnews,Remote,3.62k,featured_category,,0.31820013934764724,3620.0,1.0,1.0,1.0
Pulse CN MCP Server,Access real-time trending content from the Chinese internet. Connect your AI models to the latest data from popular social media platforms and news sites. Stay updated with what's trending in China effortlessly.,중국 인터넷에서 실시간 트렌드 콘텐츠에 액세스하세요. AI 모델을 인기 있는 소셜 미디어 플랫폼과 뉴스 사이트의 최신 데이터에 연결하세요. 중국에서 트렌드가 무엇인지 손쉽게 최신 정보를 받아보세요.,https://smithery.ai/server/@wangtsiao/pulse-cn-mcp,Remote,,featured_category,,0.2996257646185063,0.0,0.8759362032424873,0.0,0.6131553422697411
Crypto Sentiment Analysis Server,"Leverage cryptocurrency sentiment analysis to enhance your AI agents. Access real-time insights on market mood, social media mentions, and trending discussions to make informed decisions. Stay ahead of the trends with comprehensive sentiment data for various cryptocurrencies.","암호화폐 감정 분석을 활용하여 AI 에이전트를 강화하세요. 시장 분위기, 소셜 미디어 언급, 트렌드 토론에 대한 실시간 통찰력을 활용하여 정보에 입각한 결정을 내리세요. 다양한 암호화폐에 대한 포괄적인 감정 데이터로 트렌드를 앞서가세요.",https://smithery.ai/server/@kukapay/crypto-sentiment-mcp,Local,,financial_data_analysis,"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",0.2084690179512524,0.0,0.2670730648317266,0.0,0.1869511453822086
Warpcast Integration Server,"Post, read, and interact with casts on your Warpcast account seamlessly. Engage with trending content and manage your channels effortlessly using Claude. Enhance your social experience by leveraging the power of Warpcast through this integration.","Warpcast 계정에서 캐스트를 매끄럽게 게시하고, 읽고, 상호 작용하세요. Claude를 사용하여 트렌드 콘텐츠에 참여하고 채널을 손쉽게 관리하세요. 이 통합을 통해 Warpcast의 힘을 활용하여 소셜 경험을 향상하세요.",https://smithery.ai/server/@zhangzhongnan928/mcp-warpcast-server,Local,,application_integration_tools,"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",0.20439697645157365,0.0,0.23987468338571677,0.0,0.16791227837000172
Beyond MCP Server,Access social platform data and onchain data seamlessly. Integrate multiple social media platforms with ease and extend functionality as needed. Optimize your LLM interactions with well-formatted context and flexible transport options.,소셜 플랫폼 데이터와 온체인 데이터에 원활하게 액세스하세요. 여러 소셜 미디어 플랫폼을 쉽게 통합하고 필요에 따라 기능을 확장하세요. 잘 구성된 컨텍스트와 유연한 전송 옵션으로 LLM 상호 작용을 최적화하세요.,https://smithery.ai/server/@Beyond-Network-AI/beyond-mcp-server,Remote,,application_integration_tools,"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",0.16848382230275438,0.0,0.0,0.0,0.0
Beyond MCP Server,Access social platform data and onchain data seamlessly. Integrate multiple social media platforms with ease and extend functionality as needed. Optimize your LLM interactions with well-formatted context and flexible transport options.,소셜 플랫폼 데이터와 온체인 데이터에 원활하게 액세스하세요. 여러 소셜 미디어 플랫폼을 쉽게 통합하고 필요에 따라 기능을 확장하세요. 잘 구성된 컨텍스트와 유연한 전송 옵션으로 LLM 상호 작용을 최적화하세요.,https://smithery.ai/server/@Beyond-Network-AI/beyond-mcp-server,Remote,,featured_category,,0.16848382230275438,0.0,0.0,0.0,0.0
Beyond MCP Server,Access social platform data and onchain data seamlessly. Integrate multiple social media platforms with ease and extend functionality as needed. Optimize your LLM interactions with well-formatted context and flexible transport options.,소셜 플랫폼 데이터와 온체인 데이터에 원활하게 액세스하세요. 여러 소셜 미디어 플랫폼을 쉽게 통합하고 필요에 따라 기능을 확장하세요. 잘 구성된 컨텍스트와 유연한 전송 옵션으로 LLM 상호 작용을 최적화하세요.,https://smithery.ai/server/@Beyond-Network-AI/beyond-mcp-server,Remote,,ai_integration_solutions,integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,0.16848382230275438,0.0,0.0,0.0,0.0
Beyond MCP Server,Access social platform data and onchain data seamlessly. Integrate multiple social media platforms with ease and extend functionality as needed. Optimize your LLM interactions with well-formatted context and flexible transport options.,소셜 플랫폼 데이터와 온체인 데이터에 원활하게 액세스하세요. 여러 소셜 미디어 플랫폼을 쉽게 통합하고 필요에 따라 기능을 확장하세요. 잘 구성된 컨텍스트와 유연한 전송 옵션으로 LLM 상호 작용을 최적화하세요.,https://smithery.ai/server/@Beyond-Network-AI/beyond-mcp-server,Remote,,financial_data_analysis,"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",0.16848382230275438,0.0,0.0,0.0,0.0
