name,description,url,type,usage_count
Sequential Thinking,An MCP server implementation that provides a tool for dynamic and reflective problem-solving through a structured thinking process.,https://smithery.ai/server/@smithery-ai/server-sequential-thinking,Remote,681.30k
Desktop Commander,"Execute terminal commands and manage files with diff editing capabilities. Coding, shell and terminal, task automation",https://smithery.ai/server/@wonderwhy-er/desktop-commander,Local,331.87k
Github,"Access the GitHub API, enabling file operations, repository management, search functionality, and more.",https://smithery.ai/server/@smithery-ai/github,Remote,229.15k
Think Tool Server,"Enhance your AI's reasoning capabilities with structured thinking. This server provides a dedicated space for complex problem-solving, leading to more accurate and reliable responses. Experience significant performance improvements in tasks requiring detailed analysis and adherence to policies.",https://smithery.ai/server/@PhillipRt/think-mcp-server,Remote,199.28k
Brave Search,Integrate web search and local search capabilities with Brave.,https://smithery.ai/server/@smithery-ai/brave-search,Remote,155.66k
Magic MCP,v0 for MCP. Frontend feels like Magic,https://smithery.ai/server/@21st-dev/magic-mcp,Remote,70.38k
Browserbase,"Provides cloud browser automation capabilities using Browserbase, enabling LLMs to interact with web pages, take screenshots, and execute JavaScript in a cloud browser environment.",https://smithery.ai/server/@browserbasehq/mcp-browserbase,Remote,47.90k
Claude Code MCP Server,"Leverage powerful software engineering capabilities through a standardized interface. Execute shell commands, analyze code, and manage files seamlessly. Enhance your development workflow with integrated tools and resources.",https://smithery.ai/server/@auchenberg/claude-code-mcp,Local,94.24k
VeyraX MCP,"Single MCP tool to connect 70+ tools: Gmail, Calendar and 40 more.",https://smithery.ai/server/@VeyraX/veyrax-mcp,Remote,45.11k
Neon Database,"Control Neon serverless Postgres databases using natural language. Create and manage databases, run SQL queries, handle migrations, and manage projects.",https://smithery.ai/server/neon,Remote,28.78k
Exa Search,"Fast, intelligent web search and crawling.

Exa combines embeddings and traditional search to deliver the best results for LLMs.",https://smithery.ai/server/exa,Remote,26.14k
Perplexity Search,Enable AI assistants to perform web searches using Perplexity's Sonar Pro.,https://smithery.ai/server/@arjunkmrm/perplexity-search,Remote,51.59k
Fetch,A simple tool that performs a fetch request to a webpage.,https://smithery.ai/server/@smithery-ai/fetch,Remote,48.07k
E2B,Add code execution and interpreting capabilities to your agents.,https://smithery.ai/server/e2b,Remote,13.65k
Supabase MCP Server,Let Cursor & Windsurf manage your Supabase and run SQL queries. Autonomously. In a safe way.,https://smithery.ai/server/@alexander-zuev/supabase-mcp-server,Remote,27.01k
Figma API Integration,"Access Figma's powerful API to manage files, comments, and components seamlessly. Enhance your AI assistant's capabilities by integrating Figma functionalities directly into your workflows. Simplify your design collaboration and project management with easy API access.",https://smithery.ai/server/@ai-zerolab/mcp-figma,Remote,21.76k
Todoist MCP Server,MCP server for Todoist API integration,https://smithery.ai/server/@abhiz123/todoist-mcp-server,Remote,18.04k
Gemini Thinking Server,"Leverage advanced analytical thinking capabilities to break down complex problems and generate thoughtful responses. Enhance your problem-solving process with insights, confidence levels, and alternative approaches, all while maintaining session persistence for ongoing analysis.",https://smithery.ai/server/@bartekke8it56w2/new-mcp,Remote,17.29k
